Name,Extracted_name,Value,Raw_unit,Type
OH-S @ MnO2,"[{'O': '1.0', 'H': '1.0'}, {'Mn': '1.0', 'O': '2.0'}]",100,%,Cath
Mn0.8Co0.2O,"[{'Mn': '0.8', 'Co': '0.2', 'O': '1.0'}]",71,%,Anod
CoMn2O4,"[{'Co': '1.0', 'Mn': '2.0', 'O': '4.0'}]",98.5,%,Anod
TiN @ CNT-S,"[{'Ti': '1.0', 'N': '1.0'}]",96,%,Cath
Li1.2Ni0.15Mn0.55Co0.1O2,"[{'Li': '1.2', 'Ni': '0.15', 'Mn': '0.55', 'Co': '0.1', 'O': '2.0'}]",85,%,Cath
Na4Fe3(PO4)2(P2O7),"[{'P': '4.0', 'O': '15.0', 'Na': '4.0', 'Fe': '3.0'}]",99.6,%,Cath
CoSe @ C,"[{'Co': '1.0', 'Se': '1.0'}, {'C': '1.0'}]",95,%,Cath
Li2S / KB / C,"[{'Li': '2.0', 'S': '1.0'}, {'K': '1.0', 'B': '1.0'}, {'C': '1.0'}]",100,%,Cath
NC82-f,"[{'N': '1.0', 'C': '82-f'}]",82,%,Cath
Na0.8Li0.1Ni0.31Mn0.62O2,"[{'Na': '0.8', 'Li': '0.1', 'Ni': '0.31', 'Mn': '0.62', 'O': '2.0'}]",76,%,Cath
SiOC,"[{'Si': '1.0', 'O': '1.0', 'C': '1.0'}]",58,%,Anod
CN-480,"[{'C': '1.0', 'N': '1.0'}]",19.9,%,Anod
Sn / Na2Zr(PO4)2,"[{'Sn': '1.0'}, {'P': '2.0', 'O': '8.0', 'Na': '2.0', 'Zr': '1.0'}]",46.4,%,Anod
V2O5,"[{'V': '2.0', 'O': '5.0'}]",83,%,Cath
Li2S,"[{'Li': '2.0', 'S': '1.0'}]",60,%,Cath
Fe2O3 @ TiO2,"[{'Fe': '2.0', 'O': '3.0'}, {'Ti': '1.0', 'O': '2.0'}]",61,%,Anod
TiO2,"[{'Ti': '1.0', 'O': '2.0'}]",97,%,Anod
LiNi0.5Mn1.5O4,"[{'Li': '1.0', 'Ni': '0.5', 'Mn': '1.5', 'O': '4.0'}]",99.98,%,Cath
Sn4P3,"[{'Sn': '4.0', 'P': '3.0'}]",81.2,%,Anod
Li2NiF4-PEDOT,"[{'Li': '2.0', 'Ni': '1.0', 'F': '4.0'}]",6,%,Cath
LiFePO4,"[{'Li': '1.0', 'Fe': '1.0', 'P': '1.0', 'O': '4.0'}]",84.3,%,Cath
LCO,"[{'Li': '1.0', 'Co': '1.0', 'O': '2.0'}]",98,%,Cath
MoO3 / C,"[{'Mo': '1.0', 'O': '3.0'}, {'C': '1.0'}]",72.5,%,Anod
LiCrO2Â·Li2MnO3,"[{'Li': '1.0', 'Cr': '1.0', 'O': '2.0'}]",85,%,Cath
BP-C,"[{'B': '1.0', 'P': '1.0'}]",98.7,%,Cath
ZnMn2O4,"[{'Zn': '1.0', 'Mn': '2.0', 'O': '4.0'}]",97,%,Anod
Na2MnP2O7,"[{'Na': '2.0', 'Mn': '1.0', 'P': '2.0', 'O': '7.0'}]",90,%,Cath
Nickel sulfide,"[{'Ni': '2.0', 'S': '3.0'}]",59.7,%,Cath
TiO2 / C-500,"[{'Ti': '1.0', 'O': '2.0'}]",94,%,Anod
LiFePO4,"[{'Li': '1.0', 'Fe': '1.0', 'P': '1.0', 'O': '4.0'}]",90,%,Cath
LiMn2O4,"[{'Li': '1.0', 'Mn': '2.0', 'O': '4.0'}]",96.2,%,Cath
TiO2,"[{'Ti': '1.0', 'O': '2.0'}]",58,%,Anod
V2O5,"[{'V': '2.0', 'O': '5.0'}]",100,%,Cath
LiNi0.68Co0.10Mn0.22O2,"[{'Li': '1.0', 'Ni': '0.68', 'Co': '0.1', 'Mn': '0.22', 'O': '2.0'}]",85.1,%,Cath
NC-Zn2SnO4,"[{'N': '1.0', 'C': '1.0'}]",52.8,%,Anod
MnP,"[{'Mn': '1.0', 'P': '1.0'}]",78.8,%,Anod
PIN,"[{'P': '1.0', 'I': '1.0', 'N': '1.0'}]",100,%,Cath
SiOCâSe,"[{'Si': '1.0', 'O': '1.0', 'C': '1.0'}]",100,%,Cath
LTO,"[{'Li': '2.0', 'Ti': '1.0', 'O': '3.0'}]",91,%,Anod
FeSe2âC,"[{'Fe': '1.0', 'Se': '2.0'}]",52.55,%,Anod
MoS2-NP,"[{'Mo': '1.0', 'S': '2.0'}]",100,%,Anod
CuCo2O4,"[{'Cu': '1.0', 'Co': '2.0', 'O': '4.0'}]",82,%,Anod
LiTaO3âS,"[{'Li': '1.0', 'Ta': '1.0', 'O': '3.0'}]",97.4,%,Cath
Si / C / rGO,"[{'Si': '1.0'}, {'C': '1.0'}]",98.6,%,Anod
LiCoO2,"[{'Li': '1.0', 'Co': '1.0', 'O': '2.0'}]",95,%,Cath
PVP-CNF,"[{'P': '2.0', 'V': '1.0'}]",95.6,%,Anod
Si @ Li4Ti5O12,"[{'Si': '1.0'}, {'Li': '4.0', 'Ti': '5.0', 'O': '12.0'}]",78.8,%,Anod
CoCu / graphene,"[{'Co': '1.0', 'Cu': '1.0'}]",92,%,Cath
Fe3O4 @ C,"[{'Fe': '3.0', 'O': '4.0'}, {'C': '1.0'}]",90,%,Anod
SnS2,"[{'Sn': '1.0', 'S': '2.0'}]",98,%,Anod
CoFe2O4,"[{'Co': '1.0', 'Fe': '2.0', 'O': '4.0'}]",39,%,Anod
SnO2-Fe2O3,"[{'Sn': '1.0', 'O': '2.0'}]",82.9,%,Anod
NaxMnO2,"[{'Na': 'x', 'Mn': '1.0', 'O': '2.0'}]",87.5,%,Cath
SiOC,"[{'Si': '1.0', 'O': '1.0', 'C': '1.0'}]",95,%,Anod
GeO2 / C,"[{'Ge': '1.0', 'O': '2.0'}, {'C': '1.0'}]",82,%,Anod
LiFePO4,"[{'Li': '1.0', 'Fe': '1.0', 'P': '1.0', 'O': '4.0'}]",93,%,Cath
LiFePO4,"[{'Li': '1.0', 'Fe': '1.0', 'P': '1.0', 'O': '4.0'}]",93,%,Cath
Fe2O3,"[{'Fe': '2.0', 'O': '3.0'}]",75,%,Anod
NVP @ C,"[{'N': '1.0', 'V': '1.0', 'P': '1.0'}, {'C': '1.0'}]",99,%,Cath
S @ PPy / GS-49,"[{'S': '1.0', 'P': 'y+1'}]",98,%,Cath
Sb(H),"[{'H': '1.0', 'Sb': '1.0'}]",65.14,%,Anod
MnO2,"[{'Mn': '1.0', 'O': '2.0'}]",38,%,Anod
