Name,Extracted_name,Value,Raw_unit,Type
Pt / C,"[{'Pt': '1.0'}, {'C': '1.0'}]",1.4,V,Anod
NVP @ C,"[{'N': '1.0', 'V': '1.0', 'P': '1.0'}, {'C': '1.0'}]",2.2,V,Cath
LiNi0.75Mg0.125Ti0.125O2,"[{'Li': '1.0', 'Ni': '0.75', 'Mg': '0.125', 'Ti': '0.125', 'O': '2.0'}]",2.85,V,Cath
LMO,"[{'Li': '1.0', 'Mn': '2.0', 'O': '4.0'}]",3,V,Cath
LiNiPO4,"[{'Li': '1.0', 'Ni': '1.0', 'P': '1.0', 'O': '4.0'}]",0.3,V,Cath
MoS2,"[{'Mo': '1.0', 'S': '2.0'}]",0.45,V,Anod
NaLi0.2Ni0.2Mn0.6O2,"[{'Na': '1.0', 'Li': '0.2', 'Ni': '0.2', 'Mn': '0.6', 'O': '2.0'}]",4.2,V,Cath
NaFeF3,"[{'Na': '1.0', 'Fe': '1.0', 'F': '3.0'}]",3.1,V,Cath
K0.22Fe[Fe(CN)6]0.805Â·4.01H2O,"[{'C': '4.83', 'N': '4.83', 'Fe': '1.805', 'K': '0.22'}]",3.2,V,Cath
LiCoxMn2-xO4,"[{'Li': '1.0', 'Co': 'x', 'Mn': '2-x', 'O': '4.0'}]",4.3,V,Cath
LiCoO2,"[{'Li': '1.0', 'Co': '1.0', 'O': '2.0'}]",3.9,V,Cath
Li1.5Ni0.25Mn0.75O2+Î´,"[{'Li': '1.5', 'Ni': '0.25', 'Mn': '0.75', 'O': '2.0'}]",2,V,Cath
TiO2,"[{'Ti': '1.0', 'O': '2.0'}]",0.38,V,Anod
Si / C,"[{'Si': '1.0'}, {'C': '1.0'}]",0.1,V,Anod
ZnO,"[{'Zn': '1.0', 'O': '1.0'}]",1.637,V,Anod
LiFePO4,"[{'Li': '1.0', 'Fe': '1.0', 'P': '1.0', 'O': '4.0'}]",0.2,V,Cath
FeF3,"[{'Fe': '1.0', 'F': '3.0'}]",1.5,V,Cath
Li2MnSiO4 / C,"[{'Li': '2.0', 'Mn': '1.0', 'Si': '1.0', 'O': '4.0'}, {'C': '1.0'}]",2.26,V,Cath
LiVPO4F / C,"[{'Li': '1.0', 'V': '1.0', 'P': '1.0', 'O': '4.0', 'F': '1.0'}, {'C': '1.0'}]",4.5,Vvs.Li+,Cath
NiCo2O4,"[{'Ni': '1.0', 'Co': '2.0', 'O': '4.0'}]",4.5,V,Anod
LMO,"[{'Li': '1.0', 'Mn': '2.0', 'O': '4.0'}]",4.3,V,Cath
LTO,"[{'Li': '2.0', 'Ti': '1.0', 'O': '3.0'}]",0.8,Vvs.Li+,Anod
Cu0.02Mg0.02,"[{'Cu': '0.02', 'Mg': '0.02'}]",4.2,V,Cath
LTO / AC,"[{'Li': '2.0', 'Ti': '1.0', 'O': '3.0'}]",2.8,V,Anod
