Name,Extracted_name,Value,Raw_unit,Type,Molecular_weight
Pt / C,"[{'Pt': '1.0'}, {'C': '1.0'}]",1.4,V,Anod,207.091
NVP @ C,"[{'N': '1.0', 'V': '1.0', 'P': '1.0'}, {'C': '1.0'}]",2.2,V,Cath,107.9335
LiNi0.75Mg0.125Ti0.125O2,"[{'Li': '1.0', 'Ni': '0.75', 'Mg': '0.125', 'Ti': '0.125', 'O': '2.0'}]",2.85,V,Cath,91.97925000000001
LMO,"[{'Li': '1.0', 'Mn': '2.0', 'O': '4.0'}]",3.0,V,Cath,180.812
LiNiPO4,"[{'Li': '1.0', 'Ni': '1.0', 'P': '1.0', 'O': '4.0'}]",0.3,V,Cath,160.603
MoS2,"[{'Mo': '1.0', 'S': '2.0'}]",0.45,V,Anod,160.07
NaLi0.2Ni0.2Mn0.6O2,"[{'Na': '1.0', 'Li': '0.2', 'Ni': '0.2', 'Mn': '0.6', 'O': '2.0'}]",4.2,V,Cath,101.0774
NaFeF3,"[{'Na': '1.0', 'Fe': '1.0', 'F': '3.0'}]",3.1,V,Cath,135.829
K0.22Fe[Fe(CN)6]0.805Â·4.01H2O,"[{'C': '4.83', 'N': '4.83', 'Fe': '1.805', 'K': '0.22'}]",3.2,V,Cath,235.06872499999997
LiCoO2,"[{'Li': '1.0', 'Co': '1.0', 'O': '2.0'}]",3.9,V,Cath,97.87100000000001
Li1.5Ni0.25Mn0.75O2+Î´,"[{'Li': '1.5', 'Ni': '0.25', 'Mn': '0.75', 'O': '2.0'}]",2.0,V,Cath,98.28475000000002
TiO2,"[{'Ti': '1.0', 'O': '2.0'}]",0.38,V,Anod,79.865
Si / C,"[{'Si': '1.0'}, {'C': '1.0'}]",0.1,V,Anod,40.096000000000004
ZnO,"[{'Zn': '1.0', 'O': '1.0'}]",1.637,V,Anod,81.37899999999999
LiFePO4,"[{'Li': '1.0', 'Fe': '1.0', 'P': '1.0', 'O': '4.0'}]",0.2,V,Cath,157.755
FeF3,"[{'Fe': '1.0', 'F': '3.0'}]",1.5,V,Cath,112.839
Li2MnSiO4 / C,"[{'Li': '2.0', 'Mn': '1.0', 'Si': '1.0', 'O': '4.0'}, {'C': '1.0'}]",2.26,V,Cath,172.91
LiVPO4F / C,"[{'Li': '1.0', 'V': '1.0', 'P': '1.0', 'O': '4.0', 'F': '1.0'}, {'C': '1.0'}]",4.5,Vvs.Li+,Cath,183.86049999999997
NiCo2O4,"[{'Ni': '1.0', 'Co': '2.0', 'O': '4.0'}]",4.5,V,Anod,240.555
LMO,"[{'Li': '1.0', 'Mn': '2.0', 'O': '4.0'}]",4.3,V,Cath,180.812
LTO,"[{'Li': '2.0', 'Ti': '1.0', 'O': '3.0'}]",0.8,Vvs.Li+,Anod,109.744
Cu0.02Mg0.02,"[{'Cu': '0.02', 'Mg': '0.02'}]",4.2,V,Cath,1.75702
LTO / AC,"[{'Li': '2.0', 'Ti': '1.0', 'O': '3.0'}]",2.8,V,Anod,109.744
Fe2O3âCNT,"[{'Fe': '2.0', 'O': '3.0'}]",0.8,V,Cath,159.687
