Compound_name,Extracted_name,Molecular_weight,Type,Capacity_per_gram_in_mAh
Cr2O3,"[{'Cr': '2.0', 'O': '3.0'}]",151.989,Anod,60.5
LiCoO2 / LiFePO4,"[{'Li': '1.0', 'Co': '1.0', 'O': '2.0'}, {'Li': '1.0', 'Fe': '1.0', 'P': '1.0', 'O': '4.0'}]",255.626,Cath,274.0
LiFePO4 / C,"[{'Li': '1.0', 'Fe': '1.0', 'P': '1.0', 'O': '4.0'}, {'C': '1.0'}]",169.766,Cath,156.0
Co3O4âNi @ Cu,"[{'Co': '3.0', 'O': '4.0'}, {'Cu': '1.0'}]",304.341,Anod,610.0
Ni / PCNFO-S,"[{'Ni': '1.0'}, {'P': '1.0', 'C': '1.0', 'N': '1.0', 'F': '1.0', 'O': '1.0'}]",150.682,Cath,675.0
MnCo2O4.5,"[{'Mn': '1.0', 'Co': '2.0', 'O': '4.5'}]",244.7995,Anod,1301.0
IrO2,"[{'Ir': '1.0', 'O': '2.0'}]",224.218,Cath,732.0
BP2000,"[{'B': '1.0', 'P': '2000.0'}]",61958.81,Cath,2600.0
VS4 @ Li7P3S11,"[{'V': '1.0', 'S': '4.0'}, {'Li': '7.0', 'P': '3.0', 'S': '11.0'}]",673.3435,Cath,543.0
S @ MnO2 @ C,"[{'S': '1.0'}, {'Mn': '1.0', 'O': '2.0'}, {'C': '1.0'}]",131.007,Cath,703.3
LiFePO4,"[{'Li': '1.0', 'Fe': '1.0', 'P': '1.0', 'O': '4.0'}]",157.755,Cath,56.7
Li4Ti5O12,"[{'Li': '4.0', 'Ti': '5.0', 'O': '12.0'}]",459.083,Anod,215.1
CoSe2,"[{'Co': '1.0', 'Se': '2.0'}]",216.875,Anod,546.7
LiMn2O4 @ V2O5,"[{'Li': '1.0', 'Mn': '2.0', 'O': '4.0'}, {'V': '2.0', 'O': '5.0'}]",362.69,Cath,108.4
FeF3,"[{'Fe': '1.0', 'F': '3.0'}]",112.839,Cath,237.0
LiFePO4 / C,"[{'Li': '1.0', 'Fe': '1.0', 'P': '1.0', 'O': '4.0'}, {'C': '1.0'}]",169.766,Cath,125.0
LiNi0.8Co0.1Mn0.1O2,"[{'Li': '1.0', 'Ni': '0.8', 'Co': '0.1', 'Mn': '0.1', 'O': '2.0'}]",97.2795,Cath,40.0
LiMn2O4,"[{'Li': '1.0', 'Mn': '2.0', 'O': '4.0'}]",180.812,Cath,126.0
LTO / C,"[{'Li': '2.0', 'Ti': '1.0', 'O': '3.0'}, {'C': '1.0'}]",121.755,Anod,105.6
FeP @ C,"[{'Fe': '1.0', 'P': '1.0'}, {'C': '1.0'}]",98.83,Anod,363.0
SnO,"[{'Sn': '1.0', 'O': '1.0'}]",134.709,Anod,1000.0
Ni / Si,"[{'Ni': '1.0'}, {'Si': '1.0'}]",86.77799999999999,Anod,4095.0
MgH2,"[{'Mg': '1.0', 'H': '2.0'}]",26.321,Anod,630.0
V2O5-YS,"[{'V': '2.0', 'O': '5.0'}]",181.878,Cath,295.3
SIB,"[{'S': '1.0', 'I': '1.0', 'B': '1.0'}]",169.77,Anod,110.0
VO2,"[{'V': '1.0', 'O': '2.0'}]",82.9395,Anod,235.0
LiMnPO4,"[{'Li': '1.0', 'Mn': '1.0', 'P': '1.0', 'O': '4.0'}]",156.848,Cath,100.0
Li / CuS,"[{'Li': '1.0'}, {'Cu': '1.0', 'S': '1.0'}]",102.546,Cath,561.0
LiVOPO4,"[{'Li': '1.0', 'V': '1.0', 'O': '5.0', 'P': '1.0'}]",168.85049999999998,Cath,89.7
ZnFe2O4 @ C,"[{'Zn': '1.0', 'Fe': '2.0', 'O': '4.0'}, {'C': '1.0'}]",253.077,Anod,1700.0
Co3S4,"[{'Co': '3.0', 'S': '4.0'}]",305.039,Cath,287.9
SiCO,"[{'Si': '1.0', 'C': '1.0', 'O': '1.0'}]",56.095000000000006,Anod,800.0
NiO,"[{'Ni': '1.0', 'O': '1.0'}]",74.692,Anod,1219.0
TiN @ CNT-S,"[{'Ti': '1.0', 'N': '1.0'}]",61.874,Cath,611.0
Co3O4,"[{'Co': '3.0', 'O': '4.0'}]",240.795,Anod,168.1
CuHCF,"[{'Cu': '1.0', 'H': '1.0', 'C': '1.0', 'F': '1.0'}]",95.563,Cath,10.0
CuFe2O4,"[{'Cu': '1.0', 'Fe': '2.0', 'O': '4.0'}]",239.232,Anod,779.0
FePO4 / graphene,"[{'Fe': '1.0', 'P': '1.0', 'O': '4.0'}]",150.815,Cath,112.0
Copper oxide,"[{'Cu': '2.0', 'O': '3.0'}]",175.089,Anod,800.0
