Compound_name,Extracted_name,Molecular_weight,Type,Efficiency_in_percent
OH-S @ MnO2,"[{'O': '1.0', 'H': '1.0'}, {'Mn': '1.0', 'O': '2.0'}]",103.943,Cath,100.0
Mn0.8Co0.2O,"[{'Mn': '0.8', 'Co': '0.2', 'O': '1.0'}]",71.736,Anod,71.0
CoMn2O4,"[{'Co': '1.0', 'Mn': '2.0', 'O': '4.0'}]",232.805,Anod,98.5
TiN @ CNT-S,"[{'Ti': '1.0', 'N': '1.0'}]",61.874,Cath,96.0
Li1.2Ni0.15Mn0.55Co0.1O2,"[{'Li': '1.2', 'Ni': '0.15', 'Mn': '0.55', 'Co': '0.1', 'O': '2.0'}]",85.23915000000001,Cath,85.0
Na4Fe3(PO4)2(P2O7),"[{'P': '4.0', 'O': '15.0', 'Na': '4.0', 'Fe': '3.0'}]",623.376,Cath,99.6
CoSe @ C,"[{'Co': '1.0', 'Se': '1.0'}, {'C': '1.0'}]",149.915,Cath,95.0
Li2S / KB / C,"[{'Li': '2.0', 'S': '1.0'}, {'K': '1.0', 'B': '1.0'}, {'C': '1.0'}]",107.859,Cath,100.0
Na0.8Li0.1Ni0.31Mn0.62O2,"[{'Na': '0.8', 'Li': '0.1', 'Ni': '0.31', 'Mn': '0.62', 'O': '2.0'}]",103.34039,Cath,76.0
SiOC,"[{'Si': '1.0', 'O': '1.0', 'C': '1.0'}]",56.095,Anod,58.0
CN-480,"[{'C': '1.0', 'N': '1.0'}]",26.018,Anod,19.9
Sn / Na2Zr(PO4)2,"[{'Sn': '1.0'}, {'P': '2.0', 'O': '8.0', 'Na': '2.0', 'Zr': '1.0'}]",445.854,Anod,46.4
V2O5,"[{'V': '2.0', 'O': '5.0'}]",181.878,Cath,83.0
Li2S,"[{'Li': '2.0', 'S': '1.0'}]",45.940000000000005,Cath,60.0
Fe2O3 @ TiO2,"[{'Fe': '2.0', 'O': '3.0'}, {'Ti': '1.0', 'O': '2.0'}]",239.552,Anod,61.0
TiO2,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Anod,97.0
LiNi0.5Mn1.5O4,"[{'Li': '1.0', 'Ni': '0.5', 'Mn': '1.5', 'O': '4.0'}]",182.6895,Cath,99.98
Sn4P3,"[{'Sn': '4.0', 'P': '3.0'}]",567.762,Anod,81.2
Li2NiF4-PEDOT,"[{'Li': '2.0', 'Ni': '1.0', 'F': '4.0'}]",148.565,Cath,6.0
LiFePO4,"[{'Li': '1.0', 'Fe': '1.0', 'P': '1.0', 'O': '4.0'}]",157.755,Cath,84.3
LCO,"[{'Li': '1.0', 'Co': '1.0', 'O': '2.0'}]",97.871,Cath,98.0
MoO3 / C,"[{'Mo': '1.0', 'O': '3.0'}, {'C': '1.0'}]",155.958,Anod,72.5
LiCrO2Â·Li2MnO3,"[{'Li': '1.0', 'Cr': '1.0', 'O': '2.0'}]",90.934,Cath,85.0
BP-C,"[{'B': '1.0', 'P': '1.0'}]",41.784,Cath,98.7
ZnMn2O4,"[{'Zn': '1.0', 'Mn': '2.0', 'O': '4.0'}]",239.252,Anod,97.0
Na2MnP2O7,"[{'Na': '2.0', 'Mn': '1.0', 'P': '2.0', 'O': '7.0'}]",274.85900000000004,Cath,90.0
Nickel sulfide,"[{'Ni': '2.0', 'S': '3.0'}]",213.566,Cath,59.7
LiMn2O4,"[{'Li': '1.0', 'Mn': '2.0', 'O': '4.0'}]",180.812,Cath,96.2
LiNi0.68Co0.10Mn0.22O2,"[{'Li': '1.0', 'Ni': '0.68', 'Co': '0.1', 'Mn': '0.22', 'O': '2.0'}]",96.8289,Cath,85.1
MnP,"[{'Mn': '1.0', 'P': '1.0'}]",85.912,Anod,78.8
PIN,"[{'P': '1.0', 'I': '1.0', 'N': '1.0'}]",171.881,Cath,100.0
LTO,"[{'Li': '2.0', 'Ti': '1.0', 'O': '3.0'}]",109.744,Anod,91.0
FeSe2âC,"[{'Fe': '1.0', 'Se': '2.0'}]",213.787,Anod,52.55
MoS2-NP,"[{'Mo': '1.0', 'S': '2.0'}]",160.07,Anod,100.0
CuCo2O4,"[{'Cu': '1.0', 'Co': '2.0', 'O': '4.0'}]",245.408,Anod,82.0
LiTaO3âS,"[{'Li': '1.0', 'Ta': '1.0', 'O': '3.0'}]",235.887,Cath,97.4
Si / C / rGO,"[{'Si': '1.0'}, {'C': '1.0'}]",40.096,Anod,98.6
PVP-CNF,"[{'P': '2.0', 'V': '1.0'}]",112.8895,Anod,95.6
Si @ Li4Ti5O12,"[{'Si': '1.0'}, {'Li': '4.0', 'Ti': '5.0', 'O': '12.0'}]",487.168,Anod,78.8
CoCu / graphene,"[{'Co': '1.0', 'Cu': '1.0'}]",122.479,Cath,92.0
Fe3O4 @ C,"[{'Fe': '3.0', 'O': '4.0'}, {'C': '1.0'}]",243.542,Anod,90.0
