Compound_name,Extracted_name,Molecular_weight,Type,Voltage_in_V
Pt / C,"[{'Pt': '1.0'}, {'C': '1.0'}]",207.091,Anod,1.4
NVP @ C,"[{'N': '1.0', 'V': '1.0', 'P': '1.0'}, {'C': '1.0'}]",107.9335,Cath,2.2
LiNi0.75Mg0.125Ti0.125O2,"[{'Li': '1.0', 'Ni': '0.75', 'Mg': '0.125', 'Ti': '0.125', 'O': '2.0'}]",91.97925,Cath,2.85
LMO,"[{'Li': '1.0', 'Mn': '2.0', 'O': '4.0'}]",180.812,Cath,3.0
LiNiPO4,"[{'Li': '1.0', 'Ni': '1.0', 'P': '1.0', 'O': '4.0'}]",160.603,Cath,0.3
MoS2,"[{'Mo': '1.0', 'S': '2.0'}]",160.07,Anod,0.45
NaLi0.2Ni0.2Mn0.6O2,"[{'Na': '1.0', 'Li': '0.2', 'Ni': '0.2', 'Mn': '0.6', 'O': '2.0'}]",101.0774,Cath,4.2
NaFeF3,"[{'Na': '1.0', 'Fe': '1.0', 'F': '3.0'}]",135.829,Cath,3.1
K0.22Fe[Fe(CN)6]0.805Â·4.01H2O,"[{'C': '4.83', 'N': '4.83', 'Fe': '1.805', 'K': '0.22'}]",235.068725,Cath,3.2
LiCoO2,"[{'Li': '1.0', 'Co': '1.0', 'O': '2.0'}]",97.871,Cath,3.9
Li1.5Ni0.25Mn0.75O2+Î´,"[{'Li': '1.5', 'Ni': '0.25', 'Mn': '0.75', 'O': '2.0'}]",98.28475000000002,Cath,2.0
TiO2,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Anod,0.38
Si / C,"[{'Si': '1.0'}, {'C': '1.0'}]",40.096,Anod,0.1
ZnO,"[{'Zn': '1.0', 'O': '1.0'}]",81.37899999999999,Anod,1.637
LiFePO4,"[{'Li': '1.0', 'Fe': '1.0', 'P': '1.0', 'O': '4.0'}]",157.755,Cath,0.2
FeF3,"[{'Fe': '1.0', 'F': '3.0'}]",112.839,Cath,1.5
Li2MnSiO4 / C,"[{'Li': '2.0', 'Mn': '1.0', 'Si': '1.0', 'O': '4.0'}, {'C': '1.0'}]",172.91,Cath,2.26
LiVPO4F / C,"[{'Li': '1.0', 'V': '1.0', 'P': '1.0', 'O': '4.0', 'F': '1.0'}, {'C': '1.0'}]",183.8605,Cath,4.5
NiCo2O4,"[{'Ni': '1.0', 'Co': '2.0', 'O': '4.0'}]",240.555,Anod,4.5
LTO,"[{'Li': '2.0', 'Ti': '1.0', 'O': '3.0'}]",109.744,Anod,0.8
Cu0.02Mg0.02,"[{'Cu': '0.02', 'Mg': '0.02'}]",1.75702,Cath,4.2
Fe2O3âCNT,"[{'Fe': '2.0', 'O': '3.0'}]",159.687,Cath,0.8
