Name,Extracted_name,Value,Raw_unit,Type
Li7P3S11,"[{'Li': '7.0', 'P': '3.0', 'S': '11.0'}]",0.0032,Scm−1,None
Silica,"[{'Si': '1.0', 'O': '2.0'}]",2.44E-6,Scm−1,None
LLTO,"[{'Li': '1.0', 'La': '1.0', 'Ti': '1.0', 'O': '3.0'}]",1E-7,Scm−1,None
LaCuOS,"[{'La': '1.0', 'Cu': '1.0', 'O': '1.0', 'S': '1.0'}]",1.65,Scm−1,None
Na3PS4,"[{'Na': '3.0', 'P': '1.0', 'S': '4.0'}]",0.00046,S/cm,None
Li4Ti5O12,"[{'Li': '4.0', 'Ti': '5.0', 'O': '12.0'}]",2.9E-9,Scm−1,None
Li4Ti5O12,"[{'Li': '4.0', 'Ti': '5.0', 'O': '12.0'}]",0.017,Scm−1,None
LiPF6,"[{'Li': '1.0', 'P': '1.0', 'F': '6.0'}]",3.02E-6,Scm−1,None
Al2O3,"[{'Al': '2.0', 'O': '3.0'}]",0.000424,Scm−1,None
LiGe2(PO4)3,"[{'P': '3.0', 'O': '12.0', 'Li': '1.0', 'Ge': '2.0'}]",0.00001,Scm−1,None
LiPF6,"[{'Li': '1.0', 'P': '1.0', 'F': '6.0'}]",0.21,mScm−1,None
Li3V2(PO4)3,"[{'P': '3.0', 'O': '12.0', 'Li': '3.0', 'V': '2.0'}]",2.4E-7,Scm−1,None
NH4NO3,"[{'N': '2.0', 'H': '4.0', 'O': '3.0'}]",1.285E-7,Scm−1,None
LiFePO4 / C,"[{'Li': '1.0', 'Fe': '1.0', 'P': '1.0', 'O': '4.0'}]",4.4E-6,Scm−1,None
PInd,"[{'P': '1.0', 'In': 'd'}]",0.08,Scm−1,None
Li5La3Nb2O12,"[{'Li': '5.0', 'La': '3.0', 'Nb': '2.0', 'O': '12.0'}]",0.00016,Scm−1,None
Li7P3S11,"[{'Li': '7.0', 'P': '3.0', 'S': '11.0'}]",2.22,mScm−1,None
Li3PO4,"[{'Li': '3.0', 'P': '1.0', 'O': '4.0'}]",7E-8,Scm−1,None
LiPF6,"[{'Li': '1.0', 'P': '1.0', 'F': '6.0'}]",5.4,mScm−1,None
Hydroxide,"[{'O': '1.0', 'H': '1.0'}]",0.6,mScm−1,None
NH4F,"[{'N': '1.0', 'H': '4.0', 'F': '1.0'}]",1E-6,S/cm,None
Li7La3Zr2O12,"[{'Li': '7.0', 'La': '3.0', 'Zr': '2.0', 'O': '12.0'}]",0.001,Scm−1,None
LiNaSO4,"[{'Li': '1.0', 'Na': '1.0', 'S': '1.0', 'O': '4.0'}]",1,S/cm,None
LLZO,"[{'Li': '7.0', 'La': '3.0', 'Zr': '2.0', 'O': '12.0'}]",0.00008,Scm−1,None
Li3V2(PO4)3,"[{'P': '3.0', 'O': '12.0', 'Li': '3.0', 'V': '2.0'}]",0.0074,Scm−1,None
Li1.3Al0.3Ti1.7 (PO4)3,"[{'P': '3.0', 'O': '12.0', 'Li': 'x+1', 'Al': 'x', 'Ti': '2-x'}]",2.34E-14,Scm−1,None
LiFePO4,"[{'Li': '1.0', 'Fe': '1.0', 'P': '1.0', 'O': '4.0'}]",1.44E-9,Scm−1,None
NH4PF6,"[{'N': '1.0', 'H': '4.0', 'P': '1.0', 'F': '6.0'}]",1E-6,S/cm,None
NZTO,"[{'Na': '2.0', 'Zn': '2.0', 'Te': '1.0', 'O': '6.0'}]",0.000754,Scm−1,None
LiClO4,"[{'Li': '1.0', 'Cl': '1.0', 'O': '4.0'}]",0.087,mScm−1,None
ZnMn2O4 @ CMK-3,"[{'Zn': '1.0', 'Mn': '2.0', 'O': '4.0'}]",5.75E-11,Scm−1,None
Li3V2(PO4)3,"[{'P': '3.0', 'O': '12.0', 'Li': '3.0', 'V': '2.0'}]",2.4E-7,Scm−1,None
Li4Ti5O12,"[{'Li': '4.0', 'Ti': '5.0', 'O': '12.0'}]",7.3E-9,Scm−1,None
PEO,"[{'C': '2.0', 'H': '4.0', 'O': '1.0'}]",1E-7,Scm−1,None
LiVPO4F,"[{'Li': '1.0', 'V': '1.0', 'P': '1.0', 'O': '4.0', 'F': '1.0'}]",1E-11,Scm−1,None
PVdF-HFP,"[{'P': '1.0', 'V': 'd', 'F': '1.0'}]",1.846,mScm−1,None
Li2Na2Ti6O14,"[{'Li': '2.0', 'Na': '2.0', 'Ti': '5.9', 'V': '0.1', 'O': '14.0'}]",2.45E-10,Scm−1,None
LiPON / A-LLTO,"[{'Li': '1.0', 'P': '1.0', 'O': '1.0', 'N': '1.0'}]",0.000225,Scm−1,None
Tetrahydrofuran,"[{'C': '4.0', 'H': '8.0', 'O': '1.0'}]",2.22E-6,S/cm,None
Li6.75La3(Zr1.75Ta0.25)O12,"[{'Li': '6.75', 'La': '3.0', 'Zr': '1.75', 'Ta': '0.25', 'O': '12.0'}]",1.6E-6,Scm−1,None
LMO,"[{'Li': '1.0', 'Mn': '2.0', 'O': '4.0'}]",1.9E-6,Scm−1,None
Li2S–P2S5,"[{'Li': '2.0', 'S': '1.0'}]",0.001,Scm−1,None
TiP2O7 / C,"[{'Ti': '1.0', 'P': '2.0', 'O': '7.0'}]",0.000267,Scm−1,None
GeSe,"[{'Ge': '1.0', 'Se': '1.0'}]",4.7E-6,Scm−1,None
Li3VO4,"[{'Li': '2.97', 'Mg': '0.03', 'V': '1.0', 'O': '4.0'}]",1.66E-10,Scm−1,None
Co(OH)2 electrodes,"[{'O': '2.0', 'H': '2.0', 'Co': '1.0'}]",0.000036,Scm−1,None
LiClO4,"[{'Li': '1.0', 'Cl': '1.0', 'O': '4.0'}]",0.0001,Scm−1,None
P2S5–Li2S,"[{'P': '2.0', 'S': '5.0'}]",0.001,Scm−1,None
SiO2,"[{'Si': '1.0', 'O': '2.0'}]",1.16,mScm−1,None
PMMA,"[{'C': '5.0', 'O': '2.0', 'H': '8.0'}]",0.001,S/cm,None
Li2MnO3,"[{'Li': '2.0', 'Mn': '1.0', 'O': '3.0'}]",1E-10,Scm−1,None
LiClO4,"[{'Li': '1.0', 'Cl': '1.0', 'O': '4.0'}]",0.000153,S/cm,None
Li4P2S6,"[{'Li': '4.0', 'P': '2.0', 'S': '6.0'}]",1E-6,Scm−1,None
LiMnPO4,"[{'Li': '1.0', 'Mn': '1.0', 'P': '1.0', 'O': '4.0'}]",1.8E-9,Scm−1,None
Polyvinyl acetate,"[{'C': '4.0', 'H': '6.0', 'O': '2.0'}]",1E-12,S/cm,None
