Name,Extracted_name,Value,Raw_unit,Type
VS4 @ Li7P3S11 nanocomposites,"[{'V': '1.0', 'S': '4.0'}]",10,%,None
ZnGa2O4,"[{'Zn': '1.0', 'Ga': '2.0', 'O': '4.0'}]",98.08,%,None
LCO,"[{'Li': '1.0', 'Co': '1.0', 'O': '2.0'}]",99.5,%,None
MgFe2O4 / graphene,"[{'Mg': '1.0', 'Fe': '2.0', 'O': '4.0'}]",100,%,None
Ni2P,"[{'Ni': '2.0', 'P': '1.0'}]",98.8,%,None
NCO @ CNTs composites,"[{'N': '1.0', 'C': '1.0', 'O': '1.0'}]",70,%,None
Vanadium acetylacetonate,"[{'C': '25.0', 'H': '35.0', 'O': '10.0', 'V': '1.0'}]",30,%,None
Si / C,"[{'Si': '1.0'}, {'C': '1.0'}]",99.9,%,None
MoS2 @ C-600,"[{'Mo': '1.0', 'S': '2.0'}]",79.1,%,None
Zn3V3O8 / C,"[{'Zn': '3.0', 'V': '3.0', 'O': '8.0'}, {'C': '1.0'}]",58.8,%,None
Mg0.6Ni0.4O,"[{'Mg': '0.6', 'Ni': '0.4', 'O': '1.0'}]",100,%,None
Y2(MoO4)3-M,"[{'Mo': '3.0', 'O': '12.0', 'Y': '2.0'}]",58.82,%,None
MgMn2O4 / rGO composite,"[{'Mg': '1.0', 'Mn': '2.0', 'O': '4.0'}]",100,%,None
Fe2O3,"[{'Fe': '2.0', 'O': '3.0'}]",98,%,None
Co3O4-CF,"[{'Co': '3.0', 'O': '4.0'}]",77.1,%,None
PEG,"[{'C': '2*n', 'H': '4*n+2', 'O': 'n+1'}]",98,%,None
Fe2O3 electrodes,"[{'Fe': '2.0', 'O': '3.0'}]",66.2,%,None
NVP,"[{'P': '3.0', 'O': '12.0', 'Na': '3.0', 'V': '2.0'}]",100,%,None
MoO2–SRGO-2,"[{'Mo': '1.0', 'O': '2.0'}]",60,%,None
LiCoO2 cathode,"[{'Li': '1.0', 'Co': '1.0', 'O': '2.0'}]",83.14,%,None
Ni-doped LiFePO4 / C,"[{'Li': '1.0', 'Fe': '1.0', 'P': '1.0', 'O': '4.0'}, {'C': '1.0'}]",94.7,%,None
Co3O4,"[{'Co': '3.0', 'O': '4.0'}]",100,%,None
NTP,"[{'P': '3.0', 'O': '12.0', 'Na': '1.0', 'Ti': '2.0'}]",100,%,None
AlCl3 / Et3NHCl,"[{'Al': '1.0', 'Cl': '3.0'}]",97.3,%,None
