Name,Extracted_name,Value,Raw_unit,Type
Fe2O3,"[{'Fe': '2.0', 'O': '3.0'}]",41.8,Whkg−1,None
Lithium iron phosphate,"[{'Li': '1.0', 'Fe': '1.0', 'P': '1.0', 'O': '4.0'}]",250,Wh/kg,None
Ni–Zn–Co oxide / hydroxide /,"[{'O': '1.0', 'H': '1.0'}]",41.65,Whkg−1,None
Co(OH)2,"[{'O': '2.0', 'H': '2.0', 'Co': '1.0'}]",25.7,Whkg−1,None
Lithium iron phosphate cathode,"[{'Li': '1.0', 'Fe': '1.0', 'P': '1.0', 'O': '4.0'}]",71,Wh/kg,None
Na3V2(PO4)3NVP,"[{'P': '4.0', 'O': '12.0', 'Na': '3.0', 'V': '3.0', 'N': '1.0'}]",400,Wh/kg,None
LiCoO2,"[{'Li': '1.0', 'Co': '1.0', 'O': '2.0'}]",620,Whkg−1,None
Cobalt oxide,"[{'Co': '2.0', 'Se': '3.0'}]",22.7,Whkg−1,None
NaI / Ni,"[{'Ni': '1.0', 'Br': '1.0'}, {'Ni': '1.0'}]",268,Wh/kg,None
NiMoO4,"[{'Ni': '1.0', 'Mo': '1.0', 'O': '4.0'}]",141.75,Whkg−1,None
V2O3 @ C,"[{'V': '2.0', 'O': '3.0'}, {'C': '1.0'}]",10,Whkg−1,None
FeS2 @ carbon,"[{'Fe': '1.0', 'S': '2.0'}]",1000,Whkg−1,None
ZnO / ZnS @ Co3O4,"[{'Zn': '1.0', 'O': '1.0'}, {'Zn': '1.0', 'S': '1.0', 'Co': '3.0', 'O': '4.0'}]",36,Whkg−1,None
Co(OH)2CO3,"[{'O': '5.0', 'H': '2.0', 'Co': '1.0', 'C': '1.0'}]",40,Whkg−1,None
V2O5,"[{'V': '2.0', 'O': '5.0'}]",650,Whkg−1,None
Ni3(PO4)2,"[{'P': '2.0', 'O': '8.0', 'Ni': '3.0'}]",21,Whkg−1,None
LiNi0.5Mn1.5O4 / Li,"[{'Li': '1.0', 'Ni': '0.5', 'Mn': '1.5', 'O': '4.0'}, {'Li': '1.0'}]",650,Whkg−1,None
LMO,"[{'Li': '1.0', 'Mn': '2.0', 'O': '4.0'}]",411,Whkg−1,None
Fe3O4,"[{'Fe': '3.0', 'O': '4.0'}]",25,Whkg−1,None
CoO @ MnO2,"[{'Co': '1.0', 'O': '1.0'}, {'Mn': '1.0', 'O': '2.0'}]",51.7,Whkg−1,None
NaNiPO4,"[{'Na': '1.0', 'Ni': '1.0', 'P': '1.0', 'O': '4.0'}]",25,Whkg−1,None
AC / NiO,"[{'Ni': '1.0', 'O': '1.0'}]",36,Wh/kg,None
Graphene / MnO2 / / graphene,"[{'Mn': '1.0', 'O': '2.0'}]",30,Whkg−1,None
NiS,"[{'Ni': '2.0', 'S': '3.0'}]",12.78,Whkg−1,None
LiNi0.5Mn1.5O4,"[{'Li': '1.0', 'Ni': '0.5', 'Mn': '1.5', 'O': '4.0'}]",686,Whkg−1,None
Co(OH)2,"[{'O': '2.0', 'H': '2.0', 'Co': '1.0'}]",15.06,Whkg−1,None
Ni(OH)2 / / AC,"[{'O': '2.0', 'H': '2.0', 'Ni': '1.0'}]",35.7,Whkg−1,None
CNTs / MnO2 / / CNTs / SnO2,"[{'Mn': '1.0', 'O': '2.0'}, {'Sn': '1.0', 'O': '2.0'}]",51.1,Whkg−1,None
AC / Fe3O4-NPs electrode,"[{'Fe': '3.0', 'O': '4.0'}]",11.82,Wh/kg,None
MnO2 / / graphene,"[{'Mn': '1.0', 'O': '2.0'}]",14.9,Whkg−1,None
Tin / vanadium,"[{'Sn': '1.0'}, {'V': '1.0'}]",8,Whkg−1,None
MoS2,"[{'Mo': '1.0', 'S': '2.0'}]",97.6,Whkg−1,None
LiFePO4,"[{'Li': '1.0', 'Fe': '1.0', 'P': '1.0', 'O': '4.0'}]",560,Whkg−1,None
Co3O4,"[{'Co': '3.0', 'O': '4.0'}]",35.93,Whkg−1,None
K2SO4 / K0.27MnO2·0.6H2O,"[{'K': '2.0', 'S': '1.0', 'O': '4.0'}, {'K': '0.27', 'Mn': '1.0', 'O': '2.0'}]",5,Whkg−1,None
Ni(OH)2 / CNT-AC,"[{'O': '2.0', 'H': '2.0', 'Ni': '1.0'}]",50.6,Whkg−1,None
LiMn2O4 cathode,"[{'Li': '1.0', 'Mn': '2.0', 'O': '4.0'}]",132,Wh/kg,None
Co3O4-U0.11,"[{'Co': '3.0', 'O': '4.0'}]",4,Wh/kg,None
LiCoO2,"[{'Li': '1.0', 'Fe': '1.0', 'P': '1.0', 'O': '4.0'}]",700,Whkg−1,None
Ni(OH)2 / XC-72 electrode,"[{'O': '2.0', 'H': '2.0', 'Ni': '1.0'}]",48,Whkg−1,None
CoSe2 / / N–C,"[{'Co': '1.0', 'Se': '2.0'}]",50.5,Whkg−1,None
PANI / f-CFP,"[{'C': '1.0', 'F': '1.0', 'P': '1.0'}]",149,Wh/kg_PA,None
Ni / Ni(OH)2 / / AC,"[{'Ni': '1.0'}, {'O': '2.0', 'H': '2.0', 'Ni': '1.0'}]",23.45,Whkg−1,None
F-doped α-Ni(OH)2,"[{'O': '2.0', 'H': '2.0', 'Ni': '1.0'}]",67.4,Whkg−1,None
LFP / C,"[{'Li': '1.0', 'Fe': '1.0', 'P': '1.0', 'O': '4.0'}, {'C': '1.0'}]",1,Whkg−1,None
Nickel hydroxide,"[{'O': '3.0', 'H': '3.0', 'Ni': '1.0'}]",35.7,Whkg−1,None
LiFePO4,"[{'Li': '1.0', 'Fe': '1.0', 'P': '1.0', 'O': '4.0'}]",500,Whkg−1,None
Lix(Ti0.1Mn0.9)2O4,"[{'Ni': '0.2', 'Mn': '1.8', 'Li': 'x', 'O': '4.0'}]",445.3,Whkg−1,None
Co(OH)2–Co(OH)2,"[{'O': '2.0', 'H': '2.0', 'Co': '1.0'}]",3.96,Whkg−1,None
Na0.95MnO2 / / Zn,"[{'Na': '0.95', 'Mn': '1.0', 'O': '2.0'}, {'Zn': '1.0'}]",45,Whkg−1,None
LFP,"[{'Li': '1.0', 'Fe': '1.0', 'P': '1.0', 'O': '4.0'}]",120,Whkg−1,None
Li4Ti5O12 / poly(methyl)thiophene,"[{'Li': '4.0', 'Ti': '5.0', 'O': '12.0'}]",10,Whkg−1,None
LiCoO2 / SrLi2Ti6O14,"[{'Li': '1.0', 'Co': '1.0', 'O': '2.0'}, {'Sr': '1.0', 'Li': '2.0', 'Ti': '6.0'",2500,Whkg−1,None
Li2Fe2O3,"[{'Li': '2.0', 'Fe': '2.0', 'O': '3.0'}]",972.01238095,Wh/kg,None
Ca(OH)2,"[{'O': '2.0', 'H': '2.0', 'Ca': '1.0'}]",123.3362,Wh/kg,None
Fe @ CoFe2O4 @ C,"[{'Fe': '1.0'}, {'Co': '1.0', 'Fe': '2.0', 'O': '4.0'}, {'C': '1.0'}]",2216.22,Wh/kg,None
Ti3C2 / CuS,"[{'Ti': '3.0', 'C': '2.0'}, {'Cu': '1.0', 'S': '1.0'}]",15.4,Whkg−1,None
NaCl,"[{'Na': '1.0', 'Cl': '1.0'}]",124.7,Whkg−1,None
Li1.20VO2,"[{'Li': '1.2', 'V': '1.0', 'O': '2.0'}]",54,Wh/kg,None
Fe2O3–Se,"[{'Fe': '2.0', 'O': '3.0'}]",1101.1776,Wh/kg,None
Li / PEO20LiCF3SO3DMSO / LiFePO4,"[{'Li': '1.0'}, {'Li': '1.0', 'Fe': '1.0', 'P': '1.0', 'O': '42032.0'}]",680,Wh/kg,None
Ni / Co,"[{'Ni': '1.0'}, {'Co': '1.0'}]",70,Whkg−1,None
LiMnBO3 / / PANI,"[{'Li': '1.0', 'Mn': '1.0', 'B': '1.0', 'O': '3.0'}]",42,Whkg−1,None
KNCF,"[{'K': '1.0', 'N': '1.0', 'C': '1.0', 'F': '1.0'}]",75,Whkg−1,None
PTCAA / TiO2,"[{'Ti': '1.0', 'O': '2.0'}]",89.98,Whkg−1,None
NiCo2O4,"[{'Ni': '1.0', 'Co': '2.0', 'O': '4.0'}]",34,Whkg−1,None
Na2−xFe1+x / 2P2O7,"[{'Na': '2-x', 'Fe': 'x+1'}, {'P': '2.0', 'O': '7.0'}]",253,Whkg−1,None
Hypochlorite,"[{'Cl': '1.0', 'O': '1.0'}]",200,Whkg−1,None
Fe / FeO,"[{'Fe': '1.0'}, {'Fe': '1.0', 'O': '1.0'}]",348,Wh/kg-Fe,None
NiSe / C,"[{'Ni': '1.0', 'Se': '1.0'}, {'C': '1.0'}]",1595.1,Wh/kg,None
"Ternary metal nitride, LiNiN","[{'Li': '1.0', 'Ni': '1.0', 'N': '1.0'}]",577.5,Wh/kg,None
NiCd,"[{'Ni': '1.0', 'Cd': '1.0'}]",204,Whkg−1,None
Zn / NixMn3−xO4 @ C,"[{'Zn': '1.0'}, {'Ni': 'x', 'Mn': '3-x', 'O': '4.0', 'C': '1.0'}]",214.785,Wh/kg,None
PEDOT / PSS,"[{'P': '1.0', 'S': '2.0'}]",0.92,Whkg−1,None
LFP–UG-12,"[{'Li': '1.0', 'Fe': '1.0', 'P': '1.0', 'O': '4.0'}]",4.574195,Wh/kg,None
Li / Li0.44+xMn1−yTiyO2,"[{'Li': '1.0'}, {'Li': 'x+0.44', 'Mn': '1-y', 'Ti': 'y', 'O': '2.0'}]",644.225,Wh/kg,None
Sb90Sn10,"[{'Sb': '90.0', 'Sn': '10.0'}]",425.88,Wh/kg,None
MnCo2S4 / carbon,"[{'Mn': '1.0', 'Co': '2.0', 'S': '4.0'}]",43,Whkg−1,None
Fe3O4–C,"[{'Fe': '3.0', 'O': '4.0'}]",985.55921053,Wh/kg,None
SnS / MoS2–C,"[{'Sn': '1.0', 'S': '1.0'}, {'Mo': '1.0', 'S': '2.0'}]",423.435,Wh/kg,None
NiO / / AC,"[{'Ni': '1.0', 'O': '1.0'}]",20,Whkg−1,None
CoCl2,"[{'Co': '1.0', 'Cl': '2.0'}]",866.0625,Wh/kg,None
Li / Li[Ni0.5CoxMn1.5−x]O4,"[{'Li': '1.0'}, {'Li': '1.0', 'Ni': '0.5', 'Co': 'x', 'Mn': '1.5-x', 'O': '4.0'",165,Wh/kg,None
TiOF2,"[{'Ti': '1.0', 'O': '1.0', 'F': '2.0'}]",747.90459146,Wh/kg,None
Li2FeSi0.98Mg0.02O4 / C,"[{'Li': '2.0', 'Fe': '1.0', 'Si': '0.98', 'Mg': '0.02', 'O': '4.0'}, {'C': '1.0",243.6,Wh/kg,None
LiFe1.0PO4 / C,"[{'Li': '1.0', 'Fe': '1.0', 'P': '1.0', 'O': '4.0'}, {'C': '1.0'}]",29.72558,Wh/kg,None
LiOH,"[{'Li': '1.0', 'O': '1.0', 'H': '1.0'}]",50,Whkg−1,None
NiFe2O4,"[{'Ni': '1.0', 'Fe': '2.0', 'O': '4.0'}]",23,Whkg−1,None
NiCd,"[{'Ni': '1.0', 'Cd': '1.0'}]",60,Wh/kg,None
MgV10,"[{'Mg': '1.0', 'V': '10.0'}]",719.2108,Wh/kg,None
FeOx @ C-40,"[{'Fe': '1.0', 'O': 'x'}]",2447.2,Wh/kg,None
NVP / C,"[{'N': '1.0', 'V': '1.0', 'P': '1.0'}, {'C': '1.0'}]",223,Whkg−1,Cath
(NiCo)Se2 / CNT,"[{'Ni': '1.0', 'Co': '1.0', 'Se': '2.0'}]",721.26466667,Wh/kg,None
Li4Ti5O12 / C,"[{'Li': '4.0', 'Ti': '5.0', 'O': '12.0'}, {'C': '1.0'}]",189.29477233,Wh/kg,None
PPy / S,"[{'P': 'y+1'}, {'S': '1.0'}]",1787.38,Wh/kg,None
