Compound_name,Extracted_name,Molecular_weight,Type,Capacity_per_gram_in_mAh,Voltage_in_V,Efficiency_in_percent,Conductivity_in_Siemens_per_cm,Energy_in_Watt_hour_per_kg
Cu0.02Mg0.02,"[{'Cu': '0.02', 'Mg': '0.02'}]",1.75702,Cath,72.0,4.2,,,
LVP / HC-2,"[{'H': '1.0', 'C': '1.0'}]",13.018999999999998,Cath,98.0,4.3,,,
HHC-20,"[{'H': '2.0', 'C': '1.0'}]",14.027,Anod,410.0,,,,
Silicon monoxide,"[{'Si': '0.0', 'O': '1.0'}]",15.999,Anod,700.0,,,,
LiB,"[{'Li': '1.0', 'B': '1.0'}]",17.75,Cath,442.0,,,,
Fe2F5 Â· H2O,"[{'H': '2.0', 'O': '1.0'}]",18.015,Cath,253.7,,67.0,,
"C @ N-C @ N,P-C","[{'C': '1.0'}, {'C': '1.0'}]",24.022,Cath,98.0,1.33,,,
CCH / C-based oxygen,"[{'C': '2.0', 'H': '1.0'}]",25.03,Cath,3500.0,,,,
CN-380,"[{'C': '1.0', 'N': '1.0'}]",26.018,Anod,68.9,4.2,19.9,,
CN-380,"[{'C': '1.0', 'N': '1.0'}]",26.018,Anod,68.9,4.2,52.8,,
CN-380,"[{'C': '1.0', 'N': '1.0'}]",26.018,Anod,68.9,4.2,12.7,,
CN-480,"[{'C': '1.0', 'N': '1.0'}]",26.018,Anod,575.7,4.2,19.9,,
CN-480,"[{'C': '1.0', 'N': '1.0'}]",26.018,Anod,575.7,4.2,52.8,,
CN-480,"[{'C': '1.0', 'N': '1.0'}]",26.018,Anod,575.7,4.2,12.7,,
MgH2,"[{'Mg': '1.0', 'H': '2.0'}]",26.321,Anod,630.0,0.042,,,
MgH2,"[{'Mg': '1.0', 'H': '2.0'}]",26.321,Anod,630.0,0.89,,,
MgH2âTiF3 @ CNT,"[{'Mg': '1.0', 'H': '2.0'}]",26.321,Anod,543.0,0.042,,,
MgH2âTiF3 @ CNT,"[{'Mg': '1.0', 'H': '2.0'}]",26.321,Anod,543.0,0.89,,,
HN-LVP @ C,"[{'H': '1.0', 'N': '1.0'}, {'C': '1.0'}]",27.026,Cath,129.4,4.3,,,
HCO,"[{'H': '1.0', 'C': '1.0', 'O': '1.0'}]",29.018,Anod,507.0,,,,
Li2O,"[{'Li': '2.0', 'O': '1.0'}]",29.879,Cath,270.0,4.8,,,
Cu-doped Li2O,"[{'Li': '2.0', 'O': '1.0'}]",29.879,Cath,360.0,4.8,,,
,,29.93,,,,,,1670.0
,,31.009,,,2.5,,,
,,31.009,,,3.5,,,
,,32.042,,,0.4,,,
,,33.922,,,,90.0,,
,,34.827,,,2.5,,,74.7
,,34.827,,,2.5,,,74.7
CBC,"[{'C': '2.0', 'B': '1.0'}]",34.832,Anod,135.3,,,,
,,34.874660000000006,,,0.8,,,
,,38.82,,,1.0,,,
CCOâCNTs,"[{'C': '2.0', 'O': '1.0'}]",40.021,Anod,85.0,4.4,,,
Si @ C,"[{'Si': '1.0'}, {'C': '1.0'}]",40.096,Anod,404.0,0.1,98.6,,227.0
Si @ C,"[{'Si': '1.0'}, {'C': '1.0'}]",40.096,Anod,404.0,0.1,90.8,,227.0
Si @ C,"[{'Si': '1.0'}, {'C': '1.0'}]",40.096,Anod,404.0,0.1,99.0,,227.0
Si @ C,"[{'Si': '1.0'}, {'C': '1.0'}]",40.096,Anod,404.0,0.1,47.6,,227.0
Si @ C,"[{'Si': '1.0'}, {'C': '1.0'}]",40.096,Anod,404.0,1.5,98.6,,227.0
Si @ C,"[{'Si': '1.0'}, {'C': '1.0'}]",40.096,Anod,404.0,1.5,90.8,,227.0
Si @ C,"[{'Si': '1.0'}, {'C': '1.0'}]",40.096,Anod,404.0,1.5,99.0,,227.0
Si @ C,"[{'Si': '1.0'}, {'C': '1.0'}]",40.096,Anod,404.0,1.5,47.6,,227.0
Si / C,"[{'Si': '1.0'}, {'C': '1.0'}]",40.096,Anod,1555.0,0.1,98.6,,227.0
Si / C,"[{'Si': '1.0'}, {'C': '1.0'}]",40.096,Anod,1555.0,0.1,90.8,,227.0
Si / C,"[{'Si': '1.0'}, {'C': '1.0'}]",40.096,Anod,1555.0,0.1,99.0,,227.0
Si / C,"[{'Si': '1.0'}, {'C': '1.0'}]",40.096,Anod,1555.0,0.1,47.6,,227.0
Si / C,"[{'Si': '1.0'}, {'C': '1.0'}]",40.096,Anod,1555.0,1.5,98.6,,227.0
Si / C,"[{'Si': '1.0'}, {'C': '1.0'}]",40.096,Anod,1555.0,1.5,90.8,,227.0
Si / C,"[{'Si': '1.0'}, {'C': '1.0'}]",40.096,Anod,1555.0,1.5,99.0,,227.0
