Compound_name,Extracted_name,Molecular_weight,Type,Capacity_per_gram_in_mAh,Voltage_in_V,Efficiency_in_percent,Conductivity_in_Siemens_per_cm
Cu0.02Mg0.02,"[{'Cu': '0.02', 'Mg': '0.02'}]",1.75702,Cath,72.0,4.2,,
LVP / HC-2,"[{'H': '1.0', 'C': '1.0'}]",13.018999999999998,Cath,98.0,4.3,,
HHC-20,"[{'H': '2.0', 'C': '1.0'}]",14.027,Anod,410.0,,,
Silicon monoxide,"[{'Si': '0.0', 'O': '1.0'}]",15.999,Anod,700.0,,,
LiB,"[{'Li': '1.0', 'B': '1.0'}]",17.75,Cath,442.0,,,
Fe2F5 Â· H2O,"[{'H': '2.0', 'O': '1.0'}]",18.015,Cath,253.7,,67.0,
"C @ N-C @ N,P-C","[{'C': '1.0'}, {'C': '1.0'}]",24.022,Cath,98.0,1.33,,
CCH / C-based oxygen,"[{'C': '2.0', 'H': '1.0'}]",25.03,Cath,3500.0,,,
CN-380,"[{'C': '1.0', 'N': '1.0'}]",26.018,Anod,68.9,4.2,19.9,
MgH2,"[{'Mg': '1.0', 'H': '2.0'}]",26.321,Anod,630.0,0.042,,
HN-LVP @ C,"[{'H': '1.0', 'N': '1.0'}, {'C': '1.0'}]",27.026,Cath,129.4,4.3,,
HCO,"[{'H': '1.0', 'C': '1.0', 'O': '1.0'}]",29.018,Anod,507.0,,,
Li2O,"[{'Li': '2.0', 'O': '1.0'}]",29.879,Cath,270.0,4.8,,
,,31.009,,,2.5,,
,,32.042,,,0.4,,
,,33.922,,,,90.0,
,,34.827,,,2.5,,
CBC,"[{'C': '2.0', 'B': '1.0'}]",34.832,Anod,135.3,,,
,,34.874660000000006,,,0.8,,
,,38.82,,,1.0,,
CCOâCNTs,"[{'C': '2.0', 'O': '1.0'}]",40.021,Anod,85.0,4.4,,
Si @ C,"[{'Si': '1.0'}, {'C': '1.0'}]",40.096,Anod,404.0,0.1,98.6,
,,40.989,,,0.65,,
Si0.71Ge0.29,"[{'Si': '0.71', 'Ge': '0.29'}]",41.00305,Anod,841.0,,,
BP-C,"[{'B': '1.0', 'P': '1.0'}]",41.784,Cath,920.0,2.3,98.7,
NCO,"[{'N': '1.0', 'C': '1.0', 'O': '1.0'}]",42.017,Anod,261.0,3.0,,
SiN,"[{'Si': '1.0', 'N': '1.0'}]",42.092,Anod,1880.0,,,
CP,"[{'C': '1.0', 'P': '1.0'}]",42.985,Anod,70.0,,,
CFC,"[{'C': '2.0', 'F': '1.0'}]",43.02,Cath,309.0,,,
HPC / S-600,"[{'H': '1.0', 'P': '1.0', 'C': '1.0'}]",43.993,Cath,1010.0,,,
S @ C,"[{'S': '1.0'}, {'C': '1.0'}]",44.071,Cath,510.1,2.04,100.0,
SiOâC,"[{'Si': '1.0', 'O': '1.0'}]",44.084,Anod,1103.0,3.0,60.4,
NP-Si,"[{'N': '1.0', 'P': '1.0'}]",44.981,Anod,1223.9,,,
CNF,"[{'C': '1.0', 'N': '1.0', 'F': '1.0'}]",45.016000000000005,Anod,60.5,0.22,69.1,
,,45.07900000000001,,,3.0,,
SiO1.1,"[{'Si': '1.0', 'O': '1.1'}]",45.6839,Anod,800.0,,,
Li2S,"[{'Li': '2.0', 'S': '1.0'}]",45.940000000000005,Cath,758.0,4.0,60.0,
NS-CO,"[{'N': '1.0', 'S': '1.0'}]",46.067,Anod,596.0,4.2,,
,,48.016,,,3.0,,
3Mn1 / 3O2,"[{'Mn': '0.3333', 'O': '2.0'}]",50.3088354,Cath,21.0,4.8,,
3Co1 / 3O2,"[{'Co': '0.3333', 'O': '2.0'}]",51.6403689,Cath,144.0,,,
,,53.795,,,,,0.001
NaAlH4,"[{'Na': '1.0', 'Al': '1.0', 'H': '4.0'}]",54.00399999999999,Anod,330.0,,,
SiCN,"[{'Si': '1.0', 'C': '1.0', 'N': '1.0'}]",54.103,Anod,700.0,0.9,,
SiOC,"[{'Si': '1.0', 'O': '1.0', 'C': '1.0'}]",56.095,Anod,1280.0,0.6,58.0,
SiCO,"[{'Si': '1.0', 'C': '1.0', 'O': '1.0'}]",56.095000000000006,Anod,800.0,1.0,100.0,
N-GP / CPN-S,"[{'C': '1.0', 'P': '1.0', 'N': '1.0'}]",56.992,Cath,687.0,,,
Li2S @ C,"[{'Li': '2.0', 'S': '1.0'}, {'C': '1.0'}]",57.95100000000001,Cath,591.0,2.6,,
,,58.0,,,0.25,,
,,58.02,,,0.2,,
Li4.4Si,"[{'Li': '4.4', 'Si': '1.0'}]",58.62100000000001,Anod,4200.0,,,
TiC / C-S,"[{'Ti': '1.0', 'C': '1.0'}]",59.878,Cath,821.0,,98.7,
