Compound_name,Extracted_name,Molecular_weight,Type,Capacity_per_gram_in_mAh,Voltage_in_V,Efficiency_in_percent
Cu0.02Mg0.02,"[{'Cu': '0.02', 'Mg': '0.02'}]",1.75702,Cathode,72.0,4.2,82.96507552238806
LVP / HC-2,"[{'H': '1.0', 'C': '1.0'}]",13.018999999999998,Cathode,98.0,4.3,82.96507552238806
HHC-20,"[{'H': '2.0', 'C': '1.0'}]",14.027,Anode,410.0,2.194840252955733,82.96507552238806
Silicon monoxide,"[{'Si': '0.0', 'O': '1.0'}]",15.999,Anode,700.0,2.194840252955733,82.96507552238806
LiB,"[{'Li': '1.0', 'B': '1.0'}]",17.75,Cathode,442.0,2.194840252955733,82.96507552238806
Fe2F5 Â· H2O,"[{'H': '2.0', 'O': '1.0'}]",18.015,Cathode,253.7,2.194840252955733,67.0
"C @ N-C @ N,P-C","[{'C': '1.0'}, {'C': '1.0'}]",24.022,Cathode,98.0,1.33,82.96507552238806
CCH / C-based oxygen,"[{'C': '2.0', 'H': '1.0'}]",25.03,Cathode,3500.0,2.194840252955733,82.96507552238806
CN-380,"[{'C': '1.0', 'N': '1.0'}]",26.018,Anode,68.9,4.2,19.9
MgH2,"[{'Mg': '1.0', 'H': '2.0'}]",26.321,Anode,630.0,0.042,82.96507552238806
HN-LVP @ C,"[{'H': '1.0', 'N': '1.0'}, {'C': '1.0'}]",27.026,Cathode,129.4,4.3,82.96507552238806
HCO,"[{'H': '1.0', 'C': '1.0', 'O': '1.0'}]",29.018,Anode,507.0,2.194840252955733,82.96507552238806
Li2O,"[{'Li': '2.0', 'O': '1.0'}]",29.879,Cathode,270.0,4.8,82.96507552238806
CBC,"[{'C': '2.0', 'B': '1.0'}]",34.832,Anode,135.3,2.194840252955733,82.96507552238806
CCOâCNTs,"[{'C': '2.0', 'O': '1.0'}]",40.021,Anode,85.0,4.4,82.96507552238806
Si @ C,"[{'Si': '1.0'}, {'C': '1.0'}]",40.096,Anode,404.0,0.1,98.6
Si0.71Ge0.29,"[{'Si': '0.71', 'Ge': '0.29'}]",41.00305,Anode,841.0,2.194840252955733,82.96507552238806
BP-C,"[{'B': '1.0', 'P': '1.0'}]",41.784,Cathode,920.0,2.3,98.7
NCO,"[{'N': '1.0', 'C': '1.0', 'O': '1.0'}]",42.017,Anode,261.0,3.0,82.96507552238806
