Compound_name,Extracted_name,Molecular_weight,Type,Capacity_per_gram_in_mAh,Voltage_in_V,Efficiency_in_percent
Cu0.02Mg0.02,"[{'Cu': '0.02', 'Mg': '0.02'}]",1.75702,Cathode,72.0,4.2,94.0
LVP / HC-2,"[{'H': '1.0', 'C': '1.0'}]",13.018999999999998,Cathode,98.0,4.3,94.0
HHC-20,"[{'H': '2.0', 'C': '1.0'}]",14.027,Anode,410.0,2.0,94.0
Silicon monoxide,"[{'Si': '0.0', 'O': '1.0'}]",15.999,Anode,700.0,2.0,94.0
LiB,"[{'Li': '1.0', 'B': '1.0'}]",17.75,Cathode,442.0,2.0,94.0
Fe2F5 Â· H2O,"[{'H': '2.0', 'O': '1.0'}]",18.015,Cathode,253.7,2.0,67.0
"C @ N-C @ N,P-C","[{'C': '1.0'}, {'C': '1.0'}]",24.022,Cathode,98.0,1.33,94.0
CCH / C-based oxygen,"[{'C': '2.0', 'H': '1.0'}]",25.03,Cathode,3500.0,2.0,94.0
CN-380,"[{'C': '1.0', 'N': '1.0'}]",26.018,Anode,68.9,4.2,19.9
CN-480,"[{'C': '1.0', 'N': '1.0'}]",26.018,Anode,575.7,4.2,19.9
MgH2,"[{'Mg': '1.0', 'H': '2.0'}]",26.321,Anode,630.0,0.042,94.0
MgH2âTiF3 @ CNT,"[{'Mg': '1.0', 'H': '2.0'}]",26.321,Anode,543.0,0.042,94.0
HN-LVP @ C,"[{'H': '1.0', 'N': '1.0'}, {'C': '1.0'}]",27.026,Cathode,129.4,4.3,94.0
HCO,"[{'H': '1.0', 'C': '1.0', 'O': '1.0'}]",29.018,Anode,507.0,2.0,94.0
Li2O,"[{'Li': '2.0', 'O': '1.0'}]",29.879,Cathode,270.0,4.8,94.0
Cu-doped Li2O,"[{'Li': '2.0', 'O': '1.0'}]",29.879,Cathode,360.0,4.8,94.0
CBC,"[{'C': '2.0', 'B': '1.0'}]",34.832,Anode,135.3,2.0,94.0
CCOâCNTs,"[{'C': '2.0', 'O': '1.0'}]",40.021,Anode,85.0,4.4,94.0
Si @ C,"[{'Si': '1.0'}, {'C': '1.0'}]",40.096,Anode,404.0,0.1,98.6
Si / C,"[{'Si': '1.0'}, {'C': '1.0'}]",40.096,Anode,1555.0,0.1,98.6
CNTs / Si / C,"[{'Si': '1.0'}, {'C': '1.0'}]",40.096,Anode,1168.0,0.1,98.6
SiC,"[{'Si': '1.0', 'C': '1.0'}]",40.096,Anode,309.0,0.1,98.6
Si / PANi / C,"[{'Si': '1.0'}, {'C': '1.0'}]",40.096,Anode,1470.0,0.1,98.6
Si0.71Ge0.29,"[{'Si': '0.71', 'Ge': '0.29'}]",41.00305,Anode,841.0,2.0,94.0
BP-C,"[{'B': '1.0', 'P': '1.0'}]",41.784,Cathode,920.0,2.3,98.7
BP-Al,"[{'B': '1.0', 'P': '1.0'}]",41.784,Cathode,820.0,2.3,98.7
NCO,"[{'N': '1.0', 'C': '1.0', 'O': '1.0'}]",42.017,Anode,261.0,3.0,94.0
NCO / N-rGO,"[{'N': '1.0', 'C': '1.0', 'O': '1.0'}]",42.017,Cathode,712.0,3.0,94.0
SiN,"[{'Si': '1.0', 'N': '1.0'}]",42.092,Anode,1880.0,2.0,94.0
CP,"[{'C': '1.0', 'P': '1.0'}]",42.985,Anode,70.0,2.0,94.0
CFC,"[{'C': '2.0', 'F': '1.0'}]",43.02,Cathode,309.0,2.0,94.0
HPC / S-600,"[{'H': '1.0', 'P': '1.0', 'C': '1.0'}]",43.993,Cathode,1010.0,2.0,94.0
HPC @ S-PANi,"[{'H': '1.0', 'P': '1.0', 'C': '1.0'}]",43.993,Cathode,494.5,2.0,94.0
HPC,"[{'H': '1.0', 'P': '1.0', 'C': '1.0'}]",43.993,Cathode,1660.0,2.0,94.0
S @ C,"[{'S': '1.0'}, {'C': '1.0'}]",44.071,Cathode,510.1,2.04,100.0
S / C,"[{'S': '1.0'}, {'C': '1.0'}]",44.071,Cathode,1000.0,2.04,100.0
SiOâC,"[{'Si': '1.0', 'O': '1.0'}]",44.084,Anode,1103.0,3.0,60.4
SiO,"[{'Si': '1.0', 'O': '1.0'}]",44.084,Anode,1100.0,3.0,60.4
SiO-C,"[{'Si': '1.0', 'O': '1.0'}]",44.084,Anode,1500.0,3.0,60.4
NP-Si,"[{'N': '1.0', 'P': '1.0'}]",44.981,Anode,1223.9,2.0,94.0
CNF,"[{'C': '1.0', 'N': '1.0', 'F': '1.0'}]",45.016000000000005,Anode,60.5,0.22,69.1
CNFâSiO2,"[{'C': '1.0', 'N': '1.0', 'F': '1.0'}]",45.016000000000005,Anode,484.0,0.22,69.1
N-doped CNF,"[{'C': '1.0', 'N': '1.0', 'F': '1.0'}]",45.016000000000005,Anode,1323.0,0.22,69.1
AgâFe2O3 / CNF,"[{'C': '1.0', 'N': '1.0', 'F': '1.0'}]",45.016000000000005,Anode,630.0,0.22,69.1
CNF @ Co-CoO,"[{'C': '1.0', 'N': '1.0', 'F': '1.0'}]",45.016000000000005,Cathode,500.0,0.22,69.1
CNFâGN-2,"[{'C': '1.0', 'N': '1.0', 'F': '1.0'}]",45.016000000000005,Anode,754.0,0.22,69.1
CNF-Bi2O3,"[{'C': '1.0', 'N': '1.0', 'F': '1.0'}]",45.016000000000005,Anode,470.0,0.22,69.1
SiO1.1,"[{'Si': '1.0', 'O': '1.1'}]",45.6839,Anode,800.0,2.0,94.0
Li2S,"[{'Li': '2.0', 'S': '1.0'}]",45.940000000000005,Cathode,758.0,4.0,60.0
Li2S / GO,"[{'Li': '2.0', 'S': '1.0'}]",45.940000000000005,Cathode,650.0,4.0,60.0
Li2SâCNT,"[{'Li': '2.0', 'S': '1.0'}]",45.940000000000005,Cathode,563.0,4.0,60.0
Li2S @ C-CNT,"[{'Li': '2.0', 'S': '1.0'}]",45.940000000000005,Cathode,500.0,4.0,60.0
Li2S / GO @ C,"[{'Li': '2.0', 'S': '1.0'}]",45.940000000000005,Cathode,650.0,4.0,60.0
Li2S / rGO,"[{'Li': '2.0', 'S': '1.0'}]",45.940000000000005,Cathode,816.1,4.0,60.0
Li2S @ CâCNT,"[{'Li': '2.0', 'S': '1.0'}]",45.940000000000005,Cathode,805.0,4.0,60.0
