Compound_name,Extracted_name,Molecular_weight,Type,Capacity_per_gram_in_mAh,Voltage_in_V,Efficiency_in_percent,Energy_in_Watt_hour_per_kg
Cu0.02Mg0.02,"[{'Cu': '0.02', 'Mg': '0.02'}]",1.75702,Cathode,72,4.2,90,0.3024
LVP / HC-2,"[{'H': '1.0', 'C': '1.0'}]",13.019,Cathode,98,4.3,90,0.4214
HHC-20,"[{'H': '2.0', 'C': '1.0'}]",14.027,Anode,410,2.5,90,0.853013184
Silicon monoxide,"[{'Si': '0.0', 'O': '1.0'}]",15.999,Anode,700,2.5,90,0.853013184
LiB,"[{'Li': '1.0', 'B': '1.0'}]",17.75,Cathode,442,2.5,90,0.853013184
Fe2F5 Â· H2O,"[{'H': '2.0', 'O': '1.0'}]",18.015,Cathode,253.7,2.5,67,0.853013184
"C @ N-C @ N,P-C","[{'C': '1.0'}, {'C': '1.0'}]",24.022,Cathode,98,1.33,90,0.13034
CCH / C-based oxygen,"[{'C': '2.0', 'H': '1.0'}]",25.03,Cathode,3500,2.5,90,0.853013184
CN-380,"[{'C': '1.0', 'N': '1.0'}]",26.018,Anode,68.9,4.2,19.9,0.28938
MgH2,"[{'Mg': '1.0', 'H': '2.0'}]",26.321,Anode,630,0.042,90,0.02646
HN-LVP @ C,"[{'H': '1.0', 'N': '1.0'}, {'C': '1.0'}]",27.026,Cathode,129.4,4.3,90,0.55642
HCO,"[{'H': '1.0', 'C': '1.0', 'O': '1.0'}]",29.018,Anode,507,2.5,90,0.853013184
Li2O,"[{'Li': '2.0', 'O': '1.0'}]",29.879,Cathode,270,4.8,90,1.296
CBC,"[{'C': '2.0', 'B': '1.0'}]",34.832,Anode,135.3,2.5,90,0.853013184
CCOâCNTs,"[{'C': '2.0', 'O': '1.0'}]",40.021,Anode,85,4.4,90,0.374
Si @ C,"[{'Si': '1.0'}, {'C': '1.0'}]",40.096,Anode,404,0.1,98.6,0.227
Si0.71Ge0.29,"[{'Si': '0.71', 'Ge': '0.29'}]",41.00305,Anode,841,2.5,90,0.853013184
BP-C,"[{'B': '1.0', 'P': '1.0'}]",41.784,Cathode,920,2.3,98.7,2.116
NCO,"[{'N': '1.0', 'C': '1.0', 'O': '1.0'}]",42.017,Anode,261,3,90,0.783
SiN,"[{'Si': '1.0', 'N': '1.0'}]",42.092,Anode,1880,2.5,90,0.853013184
CP,"[{'C': '1.0', 'P': '1.0'}]",42.985,Anode,70,2.5,90,0.853013184
CFC,"[{'C': '2.0', 'F': '1.0'}]",43.02,Cathode,309,2.5,90,0.853013184
HPC / S-600,"[{'H': '1.0', 'P': '1.0', 'C': '1.0'}]",43.993,Cathode,1010,2.5,90,0.853013184
S @ C,"[{'S': '1.0'}, {'C': '1.0'}]",44.071,Cathode,510.1,2.04,100,1.040604
SiOâC,"[{'Si': '1.0', 'O': '1.0'}]",44.084,Anode,1103,3,60.4,3.309
NP-Si,"[{'N': '1.0', 'P': '1.0'}]",44.981,Anode,1223.9,2.5,90,0.853013184
CNF,"[{'C': '1.0', 'N': '1.0', 'F': '1.0'}]",45.016,Anode,60.5,0.22,69.1,0.01331
SiO1.1,"[{'Si': '1.0', 'O': '1.1'}]",45.6839,Anode,800,2.5,90,0.853013184
Li2S,"[{'Li': '2.0', 'S': '1.0'}]",45.94,Cathode,758,4,60,3.032
NS-CO,"[{'N': '1.0', 'S': '1.0'}]",46.067,Anode,596,4.2,90,2.5032
3Mn1 / 3O2,"[{'Mn': '0.3333', 'O': '2.0'}]",50.3088354,Cathode,21,4.8,90,0.1008
3Co1 / 3O2,"[{'Co': '0.3333', 'O': '2.0'}]",51.6403689,Cathode,144,2.5,90,0.853013184
NaAlH4,"[{'Na': '1.0', 'Al': '1.0', 'H': '4.0'}]",54.004,Anode,330,2.5,90,0.853013184
SiCN,"[{'Si': '1.0', 'C': '1.0', 'N': '1.0'}]",54.103,Anode,700,0.9,90,0.63
SiOC,"[{'Si': '1.0', 'O': '1.0', 'C': '1.0'}]",56.095,Anode,1280,0.6,58,0.873
SiCO,"[{'Si': '1.0', 'C': '1.0', 'O': '1.0'}]",56.095,Anode,800,1,100,0.8
N-GP / CPN-S,"[{'C': '1.0', 'P': '1.0', 'N': '1.0'}]",56.992,Cathode,687,2.5,90,0.853013184
Li2S @ C,"[{'Li': '2.0', 'S': '1.0'}, {'C': '1.0'}]",57.951,Cathode,591,2.6,90,1.5366
Li4.4Si,"[{'Li': '4.4', 'Si': '1.0'}]",58.621,Anode,4200,2.5,90,0.853013184
TiC / C-S,"[{'Ti': '1.0', 'C': '1.0'}]",59.878,Cathode,821,2.5,98.7,0.853013184
Carbonate,"[{'C': '1.0', 'O': '3.0'}]",60.008,Anode,188.8,2.5,90,0.853013184
SiO2,"[{'Si': '1.0', 'O': '2.0'}]",60.083,Anode,877,2.5,60.7,0.853013184
TiN @ CNT-S,"[{'Ti': '1.0', 'N': '1.0'}]",61.874,Cathode,611,0.49,96,0.29939
Li2S / CNT / C-N / O,"[{'Li': '2.0', 'S': '1.0'}, {'O': '1.0'}]",61.939,Cathode,577,0.08,90,0.04616
Na oxide,"[{'Na': '2.0', 'O': '1.0'}]",61.979,Cathode,15,2.5,90,0.853013184
MgF2,"[{'Mg': '1.0', 'F': '2.0'}]",62.301,Anode,5,2.5,90,0.853013184
P(S-DVB),"[{'S': '1.0', 'P': '1.0'}]",63.034,Cathode,800,2.5,90,0.853013184
TiO @ C-HS,"[{'Ti': '1.0', 'O': '1.0'}]",63.866,Cathode,1100,2.5,90,0.853013184
LiNi0.5Co0.2Mn0.3,"[{'Li': '1.0', 'Ni': '0.5', 'Co': '0.2', 'Mn': '0.3'}]",64.5545,Cathode,200,2.5,90,0.853013184
SiBCN / GN-ld,"[{'Si': '1.0', 'B': '1.0', 'C': '1.0', 'N': '1.0'}]",64.913,Anode,347,0.9,90,0.3123
NFS,"[{'N': '1.0', 'F': '1.0', 'S': '1.0'}]",65.065,Cathode,87.5,4.5,90,0.39375
Polypyrrole,"[{'C': '4.0', 'H': '3.0', 'N': '1.0'}]",65.075,Cathode,1000,0.78,90,0.78
LiNi1â2xCoxMnxO2,"[{'Li': '1.0', 'Ni': '1.0'}]",65.633,Cathode,205.2,2.5,90,0.853013184
Zn0.9Ni0.075In0.025,"[{'Zn': '0.9', 'Ni': '0.075', 'In': '0.025'}]",66.114475,Anode,900,2.5,90,0.853013184
ScB2,"[{'Sc': '1.0', 'B': '2.0'}]",66.576,Anode,400,2.5,90,0.853013184
Si / Sn-Ni / C / Al,"[{'Si': '1.0'}, {'C': '1.0'}, {'Al': '1.0'}]",67.078,Anode,37,2.5,100,0.853013184
PCBN,"[{'P': '1.0', 'C': '1.0', 'B': '1.0', 'N': '1.0'}]",67.802,Cathode,762,2.5,90,0.853013184
LNMO / LiPON,"[{'Li': '1.0', 'P': '1.0', 'O': '1.0', 'N': '1.0'}]",67.92,Cathode,77.9,2.5,90,0.853013184
Zn0.9Ni0.025In0.075,"[{'Zn': '0.9', 'Ni': '0.025', 'In': '0.075'}]",68.920825,Anode,1155,0.8,98,0.924
TiB2,"[{'Ti': '1.0', 'B': '2.0'}]",69.487,Anode,2000,2.5,90,0.853013184
3Co1 / 3Mn1 / 3O2,"[{'Co': '0.3333', 'Mn': '0.3333', 'O': '2.0'}]",69.9512043,Cathode,107.2,4.6,90,0.49312
LiPS,"[{'Li': '1.0', 'P': '1.0', 'S': '1.0'}]",69.974,Cathode,209,2.5,90,0.853013184
Mg0.2Co0.2Ni0.2Cu0.2Zn0.2O,"[{'Mg': '0.2', 'Co': '0.2', 'Ni': '0.2', 'Cu': '0.2', 'Zn': '0.2', 'O': '1.0'}]",70.1704,Anode,490,2.5,90,0.853013184
Li @ Cu,"[{'Li': '1.0'}, {'Cu': '1.0'}]",70.486,Anode,300,0.03,93.3,0.009
MnO,"[{'Mn': '1.0', 'O': '1.0'}]",70.937,Anode,1321,1,72,1.321
Co @ C,"[{'Co': '1.0'}, {'C': '1.0'}]",70.944,Anode,232,2.5,90,0.853013184
Mn0.9Co0.1O / CNT,"[{'Mn': '0.9', 'Co': '0.1', 'O': '1.0'}]",71.3365,Anode,500,2.5,98.5,0.853013184
