Name,Extracted_name,Value,Raw_unit,Type
VS4 @ Li7P3S11 nanocomposites,"[{'V': '1.0', 'S': '4.0'}]",10,%,
ZnGa2O4,"[{'Zn': '1.0', 'Ga': '2.0', 'O': '4.0'}]",98.08,%,
LCO,"[{'Li': '1.0', 'Co': '1.0', 'O': '2.0'}]",99.5,%,
MgFe2O4 / graphene,"[{'Mg': '1.0', 'Fe': '2.0', 'O': '4.0'}]",100,%,
Ni2P,"[{'Ni': '2.0', 'P': '1.0'}]",98.8,%,
NCO @ CNTs composites,"[{'N': '1.0', 'C': '1.0', 'O': '1.0'}]",70,%,
Vanadium acetylacetonate,"[{'C': '25.0', 'H': '35.0', 'O': '10.0', 'V': '1.0'}]",30,%,
Si / C,"[{'Si': '1.0'}, {'C': '1.0'}]",99.9,%,
MoS2 @ C-600,"[{'Mo': '1.0', 'S': '2.0'}]",79.1,%,
Zn3V3O8 / C,"[{'Zn': '3.0', 'V': '3.0', 'O': '8.0'}, {'C': '1.0'}]",58.8,%,
Mg0.6Ni0.4O,"[{'Mg': '0.6', 'Ni': '0.4', 'O': '1.0'}]",100,%,
Y2(MoO4)3-M,"[{'Mo': '3.0', 'O': '12.0', 'Y': '2.0'}]",58.82,%,
MgMn2O4 / rGO composite,"[{'Mg': '1.0', 'Mn': '2.0', 'O': '4.0'}]",100,%,
Fe2O3,"[{'Fe': '2.0', 'O': '3.0'}]",98,%,
Co3O4-CF,"[{'Co': '3.0', 'O': '4.0'}]",77.1,%,
PEG,"[{'C': '2*n', 'H': '4*n+2', 'O': 'n+1'}]",98,%,
Fe2O3 electrodes,"[{'Fe': '2.0', 'O': '3.0'}]",66.2,%,
NVP,"[{'P': '3.0', 'O': '12.0', 'Na': '3.0', 'V': '2.0'}]",100,%,
MoO2âSRGO-2,"[{'Mo': '1.0', 'O': '2.0'}]",60,%,
LiCoO2 cathode,"[{'Li': '1.0', 'Co': '1.0', 'O': '2.0'}]",83.14,%,
Ni-doped LiFePO4 / C,"[{'Li': '1.0', 'Fe': '1.0', 'P': '1.0', 'O': '4.0'}, {'C': '1.0'}]",94.7,%,
Co3O4,"[{'Co': '3.0', 'O': '4.0'}]",100,%,
NTP,"[{'P': '3.0', 'O': '12.0', 'Na': '1.0', 'Ti': '2.0'}]",100,%,
AlCl3 / Et3NHCl,"[{'Al': '1.0', 'Cl': '3.0'}]",97.3,%,
Ni3Ge2O5(OH)4,"[{'O': '9.0', 'H': '4.0', 'Ni': '3.0', 'Ge': '2.0'}]",70,%,
SnS2,"[{'Sn': '1.0', 'S': '2.0'}]",37,%,
