Compound_name,Extracted_name,Molecular_weight,Type,Capacity_per_gram_in_mAh,Voltage_in_V,Efficiency_in_percent,Energy_in_Watt_hour_per_kg
Cu0.02Mg0.02,"[{'Cu': '0.02', 'Mg': '0.02'}]",0.0,Cathode,0.0165350784474122,0.8212180746561886,0.8999589831831051,0.028790750388098935
LVP / HC-2,"[{'H': '1.0', 'C': '1.0'}]",0.00018177075019425818,Cathode,0.02250939806432044,0.8408644400785853,0.8999589831831051,0.04012419165896818
HHC-20,"[{'H': '2.0', 'C': '1.0'}]",0.00019804008437846135,Anode,0.09420123346721937,0.4872298624754419,0.8999589831831051,0.09761045343288983
Silicon monoxide,"[{'Si': '0.0', 'O': '1.0'}]",0.0002298685833975572,Anode,0.160837875348119,0.4872298624754419,0.8999589831831051,0.16665873008314364
LiB,"[{'Li': '1.0', 'B': '1.0'}]",0.00025813009545761644,Cathode,0.10155424222649105,0.4872298624754419,0.8999589831831051,0.1052295736149868
Fe2F5 Â· H2O,"[{'H': '2.0', 'O': '1.0'}]",0.00026240725176596353,Cathode,0.05828638130865173,0.4872298624754419,0.6698646445042468,0.060395813293459936
"C @ N-C @ N,P-C","[{'C': '1.0'}, {'C': '1.0'}]",0.00035936150815932494,Cathode,0.02250939806432044,0.2573673870333988,0.8999589831831051,0.01240392765645387
CCH / C-based oxygen,"[{'C': '2.0', 'H': '1.0'}]",0.00037563084234352816,Cathode,0.8042261417843913,0.4872298624754419,0.8999589831831051,0.8333317460166287
CN-380,"[{'C': '1.0', 'N': '1.0'}]",0.00039157737227804476,Anode,0.015822755723857756,0.8212180746561886,0.19867145529667163,0.027550738578462654
MgH2,"[{'Mg': '1.0', 'H': '2.0'}]",0.0003964678566607963,Anode,0.1447531686872122,0.004322200392927309,0.8999589831831051,0.0025105001000009525
HN-LVP @ C,"[{'H': '1.0', 'N': '1.0'}, {'C': '1.0'}]",0.00040784670646224787,Cathode,0.029724537909355784,0.8408644400785853,0.8999589831831051,0.05298336174630234
HCO,"[{'H': '1.0', 'C': '1.0', 'O': '1.0'}]",0.0004399980097310303,Anode,0.11649004126876165,0.4872298624754419,0.8999589831831051,0.12070591148487128
Li2O,"[{'Li': '2.0', 'O': '1.0'}]",0.0004538947326800372,Cathode,0.062031820145405744,0.9390962671905696,0.8999589831831051,0.12342022304974332
CBC,"[{'C': '2.0', 'B': '1.0'}]",0.0005338372051149164,Anode,0.0310802488993465,0.4872298624754419,0.8999589831831051,0.03220506861970114
CCOâCNTs,"[{'C': '2.0', 'O': '1.0'}]",0.0006175887676960971,Anode,0.01952223825586632,0.8605108055009822,0.8999589831831051,0.03560986295107573
Si @ C,"[{'Si': '1.0'}, {'C': '1.0'}]",0.0006187992836324216,Anode,0.09282254432485593,0.01571709233791748,0.9859942576456346,0.021609729616472537
Si0.71Ge0.29,"[{'Si': '0.71', 'Ge': '0.29'}]",0.000633439263366332,Anode,0.19323707019365985,0.4872298624754419,0.8999589831831051,0.20023047838550842
BP-C,"[{'B': '1.0', 'P': '1.0'}]",0.0006460439623059682,Cathode,0.21138981056811182,0.4479371316306482,0.9869946678138037,0.20151620491623728
NCO,"[{'N': '1.0', 'C': '1.0', 'O': '1.0'}]",0.0006498046318148169,Anode,0.05996378643186059,0.5854616895874263,0.8999589831831051,0.07456261488204649
SiN,"[{'Si': '1.0', 'N': '1.0'}]",0.0006510151477511414,Anode,0.4319800733462623,0.4872298624754419,0.8999589831831051,0.4476137867979695
CP,"[{'C': '1.0', 'P': '1.0'}]",0.0006654283574996468,Anode,0.01607551539995772,0.4872298624754419,0.8999589831831051,0.016657301498109504
CFC,"[{'C': '2.0', 'F': '1.0'}]",0.0006659932649365983,Cathode,0.07099329957076811,0.4872298624754419,0.8999589831831051,0.07356260535814627
HPC / S-600,"[{'H': '1.0', 'P': '1.0', 'C': '1.0'}]",0.0006816976916838499,Cathode,0.23207014770356343,0.4872298624754419,0.8999589831831051,0.24046895684720807
S @ C,"[{'S': '1.0'}, {'C': '1.0'}]",0.0006829566282576275,Cathode,0.11720236399231611,0.39685658153241643,1.0,0.09909656282440785
SiOâC,"[{'Si': '1.0', 'O': '1.0'}]",0.0006831664510199239,Anode,0.2534398294101967,0.5854616895874263,0.6038375734050961,0.3151363346317584
NP-Si,"[{'N': '1.0', 'P': '1.0'}]",0.0006976442216183665,Anode,0.2812204156288201,0.4872298624754419,0.8999589831831051,0.2913980133144125
CNF,"[{'C': '1.0', 'N': '1.0', 'F': '1.0'}]",0.0006982091290553182,Anode,0.013892590924548939,0.039292730844793705,0.6908732580357947,0.0012581072200687625
SiO1.1,"[{'Si': '1.0', 'O': '1.1'}]",0.0007089891769736011,Anode,0.18381602772084302,0.4872298624754419,0.8999589831831051,0.19046848065219668
Li2S,"[{'Li': '2.0', 'S': '1.0'}]",0.0007131226853908377,Cathode,0.17416520372429892,0.7819253438113948,0.5998359327324203,0.2887551310012476
NS-CO,"[{'N': '1.0', 'S': '1.0'}]",0.0007151724923763473,Anode,0.13694059688048602,0.8212180746561886,0.8999589831831051,0.23839274659758666
