Compound_name,Extracted_name,Molecular_weight,Type,Capacity_per_gram_in_mAh,Voltage_in_V,Efficiency_in_percent
Cu0.02Mg0.02,"[{'Cu': '0.02', 'Mg': '0.02'}]",-0.14051559859347296,Cathode,-0.8388752887049983,1.9685521626264504,0.353956388773007
LVP / HC-2,"[{'H': '1.0', 'C': '1.0'}]",-0.13631670620244324,Cathode,-0.789411292878245,2.060411664302656,0.353956388773007
HHC-20,"[{'H': '2.0', 'C': '1.0'}]",-0.13594088565133608,Anode,-0.1958433429572056,-0.05235687425008381,0.353956388773007
Silicon monoxide,"[{'Si': '0.0', 'O': '1.0'}]",-0.13520564941444782,Anode,0.3558704566488887,-0.05235687425008381,0.353956388773007
LiB,"[{'Li': '1.0', 'B': '1.0'}]",-0.13455281034203845,Cathode,-0.13496457886274002,-0.05235687425008381,0.353956388773007
Fe2F5 Â· H2O,"[{'H': '2.0', 'O': '1.0'}]",-0.1344540083122335,Cathode,-0.4931980563311109,-0.05235687425008381,-1.6629141479164669
"C @ N-C @ N,P-C","[{'C': '1.0'}, {'C': '1.0'}]",-0.1322143713573716,Cathode,-0.789411292878245,-0.6678155354806645,0.353956388773007
CCH / C-based oxygen,"[{'C': '2.0', 'H': '1.0'}]",-0.13183855080626444,Cathode,5.682762314914627,-0.05235687425008381,0.353956388773007
CN-380,"[{'C': '1.0', 'N': '1.0'}]",-0.13147018701212365,Anode,-0.8447729189766496,1.9685521626264504,-5.181232750808104
CN-480,"[{'C': '1.0', 'N': '1.0'}]",-0.13147018701212365,Anode,0.11939450736944907,1.9685521626264504,-5.181232750808104
MgH2,"[{'Mg': '1.0', 'H': '2.0'}]",-0.13135721714408252,Anode,0.22269816019224525,-1.8509659170701993,0.353956388773007
MgH2âTiF3 @ CNT,"[{'Mg': '1.0', 'H': '2.0'}]",-0.13135721714408252,Anode,0.05718402031041697,-1.8509659170701993,0.353956388773007
HN-LVP @ C,"[{'H': '1.0', 'N': '1.0'}, {'C': '1.0'}]",-0.1310943664610165,Cathode,-0.7296740056105506,2.060411664302656,0.353956388773007
HCO,"[{'H': '1.0', 'C': '1.0', 'O': '1.0'}]",-0.13035167346716184,Anode,-0.011304589295856805,-0.05235687425008381,0.353956388773007
Li2O,"[{'Li': '2.0', 'O': '1.0'}]",-0.1300306600797578,Cathode,-0.4621879358704925,2.5197091726836867,0.353956388773007
Cu-doped Li2O,"[{'Li': '2.0', 'O': '1.0'}]",-0.1300306600797578,Cathode,-0.29096641185480804,2.5197091726836867,0.353956388773007
CBC,"[{'C': '2.0', 'B': '1.0'}]",-0.12818399421702584,Anode,-0.7184494834806335,-0.05235687425008381,0.353956388773007
CCOâCNTs,"[{'C': '2.0', 'O': '1.0'}]",-0.1262493386220902,Anode,-0.8141432907916216,2.1522711659788625,0.353956388773007
Si @ C,"[{'Si': '1.0'}, {'C': '1.0'}]",-0.12622137578346615,Anode,-0.20725811122491788,-1.7976874060979995,0.69757136909788
Si / C,"[{'Si': '1.0'}, {'C': '1.0'}]",-0.12622137578346615,Anode,1.982474934797891,-1.7976874060979995,0.69757136909788
CNTs / Si / C,"[{'Si': '1.0'}, {'C': '1.0'}]",-0.12622137578346615,Anode,1.2462223815304478,-1.7976874060979995,0.69757136909788
SiC,"[{'Si': '1.0', 'C': '1.0'}]",-0.12622137578346615,Anode,-0.3879919421303626,-1.7976874060979995,0.69757136909788
