Compound_name,Extracted_name,Molecular_weight,Type,Capacity_per_gram_in_mAh,Voltage_in_V,Efficiency_in_percent,Energy_in_Watt_hour_per_kg
Cu0.02Mg0.02,"[{'Cu': '0.02', 'Mg': '0.02'}]",-0.16603410410525182,Cathode,-0.747923003657612,1.8252859231890821,0.16480031424738348,-0.670725724251449
LVP / HC-2,"[{'H': '1.0', 'C': '1.0'}]",-0.1613811670905258,Cathode,-0.7018158207685162,1.9316007284195134,0.16480031424738348,-0.5257666793639452
HHC-20,"[{'H': '2.0', 'C': '1.0'}]",-0.16096470741728505,Anode,-0.1485296260993669,0.01793423427174401,0.16480031424738348,0.0
Silicon monoxide,"[{'Si': '0.0', 'O': '1.0'}]",-0.16014996686606406,Anode,0.3657427984328553,0.01793423427174401,0.16480031424738348,0.0
LiB,"[{'Li': '1.0', 'B': '1.0'}]",-0.15942653344558336,Cathode,-0.09178232408201825,0.01793423427174401,0.16480031424738348,0.0
Fe2F5 Â· H2O,"[{'H': '2.0', 'O': '1.0'}]",-0.1593170475195826,Cathode,-0.42570472939035425,0.01793423427174401,-2.2618835172969587,0.0
"C @ N-C @ N,P-C","[{'C': '1.0'}, {'C': '1.0'}]",-0.1568352288120854,Cathode,-0.7018158207685162,-1.225948986924306,0.16480031424738348,-0.8803194491534988
CCH / C-based oxygen,"[{'C': '2.0', 'H': '1.0'}]",-0.15641876913884462,Cathode,5.331131724950862,0.01793423427174401,0.16480031424738348,0.0
CN-380,"[{'C': '1.0', 'N': '1.0'}]",-0.15601057255435866,Anode,-0.7534203985405427,1.8252859231890821,-7.231309972329069,-0.6865859491626701
MgH2,"[{'Mg': '1.0', 'H': '2.0'}]",-0.15588538675972377,Anode,0.24160807526990508,-2.5952836782922657,0.16480031424738348,-1.0068601683376492
HN-LVP @ C,"[{'H': '1.0', 'N': '1.0'}, {'C': '1.0'}]",-0.1555941128811179,Cathode,-0.6461325306639928,1.9316007284195134,0.16480031424738348,-0.36129297986217407
HCO,"[{'H': '1.0', 'C': '1.0', 'O': '1.0'}]",-0.15477110924114215,Anode,0.0234856331407212,0.01793423427174401,0.16480031424738348,0.0
Li2O,"[{'Li': '2.0', 'O': '1.0'}]",-0.154415383270249,Cathode,-0.39679907242526724,2.4631747545716713,0.16480031424738348,0.539621393397491
CBC,"[{'C': '2.0', 'B': '1.0'}]",-0.15236902934012855,Anode,-0.6356697468545442,0.01793423427174401,0.16480031424738348,0.0
CCOâCNTs,"[{'C': '2.0', 'O': '1.0'}]",-0.15022517096270172,Anode,-0.7248694122130641,2.0379155336499455,0.16480031424738348,-0.583506668672077
Si @ C,"[{'Si': '1.0'}, {'C': '1.0'}]",-0.1501941843798713,Anode,-0.15916974522761979,-2.5336210912586155,1.0721690512596151,-0.7625737241213465
